"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ABB INC","ABB Ltd.","$6,680","$0","$6,680","2005","20050520","safety-related offenses","motor vehicle safety violation","","MO-2005-0048-US0084","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Missouri","SAINT LOUIS","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"ABB Inc.","ABB Ltd.","$20,000","$0","$20,000","2006","20060213","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-28353-001","","","Missouri","Jefferson City","","65101-5032","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ABB Ltd","ABB Ltd.","$5,900,000","$0","$5,900,000","2004","20040706","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.sec.gov/litigation/litreleases/lr18775.htm",""
"ABB Ltd.","ABB Ltd.","$39,300,000","$0","$39,300,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.sec.gov/news/press/2010/2010-175.htm",""
"ABB Ltd.","ABB Ltd.","$19,000,000","$0","$19,000,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","","ABB Ltd, a Swiss corporation, and two of its subsidiaries have resolved charges related to violations of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.justice.gov/opa/pr/abb-ltd-and-two-subsidiaries-resolve-foreign-corrupt-practices-act-investigation-and-will-pay",""
"ABB, Inc.","ABB Ltd.","$10,349","$0","$10,349","2016","20160312","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1786291","","","Mississippi","Crystal Springs","","39059","221119","221119: Other Electric Power Generation","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABB, Inc.","ABB Ltd.","$6,626","$0","$6,626","2004","20041202","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27141-001","","","Missouri","Jefferson City","","65101-5032","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ABB Middle East & Africa Participations AG","ABB Ltd.","$53,000,000","$0","$53,000,000","2001","20010412","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","ABB Middle East &Africa Participations AG, a Milan-based, Swiss subsidiary of ABB Asea Brown Boveri Ltd., pleaded guilty and was sentenced to pay a $53 million fine for participating in a conspiracy to rig bids on a construction contract funded by the United States Agency for International Development in Egypt.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.justice.gov/archive/atr/public/press_releases/2001/7984.htm",""
"Baldor Electric Co.","ABB Ltd.","$2,000,000","$0","$2,000,000","2012","20120625","employment-related offenses","employment discrimination","","The Office of Federal Contract Compliance Programs announced that Baldor Electric Co. agreed to settle allegations of systemic discrimination stemming from the company's applicant screening process at its facility in Fort Smith, Ark. OFCCP investigators determined that the process violated Executive Order 11246 by creating a disparate impact on women and minorities.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Arkansas","Fort Smith","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.dol.gov/opa/media/press/ofccp/OFCCP20120576.htm",""
"Baldor Electric Company, Inc.","ABB Ltd.","$14,809","$0","$14,809","2006","20060218","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1428531","","","Arkansas","Fort Smith","","72901","335312","335312: Motor and Generator Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Reliance Electric, Inc.","ABB Ltd.","$209,007","$0","$209,007","2012","20121221","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1679390","","","Utah","Hildale","","84784","238210","238210: Electrical Contractors","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Thomas & Betts Corporation","ABB Ltd.","$17,140","$0","$17,140","2003","20030717","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-20732-001","","","Arkansas","Jonesboro","","72401","335313","335313: Switchgear and Switchboard Apparatus Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"THOMAS & BETTS CORPORATION","ABB Ltd.","$13,000","$0","$13,000","2009","20091117","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","JONESBORO","5601 E. HIGHLAND DR.","72401","335932","335932: Noncurrent-Carrying Wiring Device Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABB KUHLMAN ELECTRIC CORPORATION","ABB Ltd.","$10,000","$0","$10,000","2011","20110111","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","CRYSTAL SPRINGS","101 KUHLMAN DRIVE","39059","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THOMAS & BETTS CORPORATION","ABB Ltd.","$6,750","$0","$6,750","2006","20060809","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","STEELE","585 DUNCAN FARMS ROAD","35987","332312","332312: Fabricated Structural Metal Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THOMAS & BETTS INC","ABB Ltd.","$7,650","$0","$7,650","2005","20051104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","ATHENS","260 DENNIS STREET","37303","335932","335932: Noncurrent-Carrying Wiring Device Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUHLMAN ELECTRIC CORPORATION","ABB Ltd.","$5,000","$0","$5,000","2005","20051027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","VERSAILLES","101 KUHLMAN BLVD","40383","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABB, INC.","ABB Ltd.","$7,800","$0","$7,800","2005","20050908","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","BLAND","STATE HIGHWAY 42","24315","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUHLMAN ELECTRIC CORPORATION","ABB Ltd.","$17,075","$0","$17,075","2005","20050210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","VERSAILLES","101 KUHLMAN BLVD","40383","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THOMAS & BETTS","ABB Ltd.","$6,000","$0","$6,000","2002","20020709","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","JONESBORO","5601 E. HIGHLAND DR.","72401","000000","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABB POWER T & D COMPANY, INC.","ABB Ltd.","$25,000","$0","$25,000","2001","20010314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","SOUTH BOSTON","2135 PHILPOTT ROAD","24592","000000","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUHLMAN ELECTRIC CORPORATION","ABB Ltd.","$6,375","$0","$6,375","2000","20001128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","VERSAILLES","101 KUHLMAN BLVD","40383","000000","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABB POWER T & D COMPANY, INC.","ABB Ltd.","$9,000","$0","$9,000","2001","20010706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","SUPERIOR","GEORGIA PACIFIC CORP. 5TH & BAYFRONT","54880","000000","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
