"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Abbott Laboratories Inc.","AbbVie","$1,500,000,000","$0","$1,500,000,000","2012","20120507","healthcare-related offenses","off-label or unapproved promotion of medical products","","Global Health Care Company Abbott Laboratories Inc. has pleaded guilty and agreed to pay $1.5 billion to resolve its criminal and civil liability arising from the company's unlawful promotion of the prescription drug Depakote for uses not approved as safe and effective by the Food and Drug Administration. The resolution - the second largest payment by a drug company - includes a criminal fine and forfeiture totaling $700 million and civil settlements with the federal government and the states totaling $800 million. Abbott also will be subject to court-supervised probation and reporting obligations for Abbotts CEO and Board of Directors.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/abbott-labs-pay-15-billion-resolve-criminal-civil-investigations-label-promotion-depakote",""
"Abbott Laboratories Inc.","AbbVie","$126,500,000","$0","$126,500,000","2010","20101207","government-contracting-related offenses","False Claims Act and related","","Abbott Laboratories Inc., B. Braun Medical Inc. and Roxane Laboratories Inc. n/k/a Boehringer Ingelheim Roxane Inc. and affiliated entities agreed to pay $421 million to settle False Claims Act allegations, that they engaged in a scheme to report false and inflated prices for numerous pharmaceutical products knowing that federal healthcare programs relied on those reported prices to set payment rates.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/pharmaceutical-manufacturers-pay-4212-million-settle-false-claims-act-cases",""
"Allergan Inc.","AbbVie","$600,000,000","$0","$600,000,000","2010","20100901","healthcare-related offenses","off-label or unapproved promotion of medical products","","American pharmaceutical manufacturer Allergan Inc. has agreed to plead guilty and pay $600 million to resolve its criminal and civil liability arising from the company's unlawful promotion of its biological product, Botox Therapeutic, for uses not approved as safe and effective by the Food and Drug Administration. The resolution included a criminal fine and forfeiture totaling $375 million and a civil settlement with the federal government and the states of $225 million.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/allergan-agrees-plead-guilty-and-pay-600-million-resolve-allegations-label-promotion-botox",""
"Allergan Inc.","AbbVie","$15,000,000","$0","$15,000,000","2017","20170117","financial offenses","investor protection violation","","Allergan Inc. admitted securities law violations and agreed to pay a $15 million penalty for disclosure failures in the wake of a hostile takeover bid.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.sec.gov/news/pressrelease/2017-16.html",""
"Forest Laboratories and Forest Pharmaceuticals","AbbVie","$38,000,000","$0","$38,000,000","2016","20161215","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Forest Laboratories LLC, located in New York, New York, and its subsidiary, Forest Pharmaceuticals Inc., agreed to pay $38 million to resolve allegations that they violated the False Claims Act by paying kickbacks to induce physicians to prescribe the drugs Bystolic, Savella, and Namenda.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/forest-laboratories-and-forest-pharmaceuticals-pay-38-million-resolve-kickback-allegations",""
"Forest Pharmaceuticals Inc.","AbbVie","$164,000,000","$0","$164,000,000","2011","20110302","healthcare-related offenses","off-label or unapproved promotion of medical products","","Drug manufacturer Forest Pharmaceuticals Inc. was sentenced by U.S. District Judge Nancy Gertner to pay a criminal fine of $150 million and forfeit assets of $14 million following the company's guilty plea in November 2010 to one felony count of obstructing justice, one misdemeanor count of distributing an unapproved new drug in interstate commerce and one misdemeanor count of distributing a misbranded drug in interstate commerce, the Justice Department announced. The company, a subsidiary of New York City-based Forest Laboratories Inc., pleaded guilty to charges related to obstruction of an FDA regulatory inspection, to the distribution of Levothroid, which at the time was an unapproved new drug, and to the illegal promotion of the anti-depressant drug Celexa for use in treating children and adolescents.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/forest-pharmaceuticals-sentenced-pay-164-million-criminal-violations",""
"Kos Pharmaceuticals","AbbVie","$41,500,000","$0","$41,500,000","2010","20101207","competition-related offenses","kickbacks and bribery","","Kos Pharmaceuticals, a subsidiary of Abbott Laboratories, agreed to pay more than $41 million to resolve criminal and civil liability arising from allegations that the company offered and paid doctors, other medical professionals, physician groups and managed care organizations illegal kickbacks in the form of money, free travel, grants, honoraria and other valuable goods and services.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","deferred prosecution agreement","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/kos-pharmaceuticals-pay-more-41-million-resolve-kickback-and-label-promotion-allegations",""
"Valmed Pharmaceutical, Inc.","AbbVie","$83,871","$0","$83,871","2004","20040530","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1321955","","","New York","Grand Island","","14072","56142","56142: Telephone Call Centers","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Warner Chilcott PLC","AbbVie","$125,000,000","$0","$125,000,000","2015","20151029","healthcare-related offenses","off-label or unapproved promotion of medical products","","Warner Chilcott U.S. Sales LLC, a subsidiary of pharmaceutical manufacturer Warner Chilcott PLC, agreed to plead guilty to a felony charge of health care fraud. The plea agreement was part of a global settlement with the United States in which Warner Chilcott agreed to pay $125 million to resolve its criminal and civil liability arising from the company's allegedly illegal marketing of the drugs Actonel, Asacol, Atelvia, Doryx, Enablex, Estrace and Loestrin.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/warner-chilcott-agrees-plead-guilty-felony-health-care-fraud-scheme-and-pay-125-million",""
"Forest Pharmaceuticals Inc.","AbbVie","$149,000,000","$0","$149,000,000","2010","20100915","government-contracting-related offenses","False Claims Act and related","","Forest Pharmaceuticals settled allegations that it caused false claims to be submitted to federal health care programs for the drugs Levothroid, Celexa, and Lexapro.","federal","agency action","U.S. Attorney-District of Massachusetts","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/usao/ma/news/2010/September/SettlementPressRelease.html",""
