"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ABC Supply Company,  Inc.","ABC Supply","$6,635","$0","$6,635","2007","20071001","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1491562","","","Missouri","Columbia","","65201","238160","238160: Roofing Contractors","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Bradco Supply Corp.","ABC Supply","$30,283","$0","$30,283","2005","20050701","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-24032-001","","","Florida","Melbourne","","32901","238160","238160: Roofing Contractors","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ABC SUPPLY COMPANY, INC.","ABC Supply","$6,000","$0","$6,000","2008","20080430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","NEW BRITAIN","1455 CORBIN AVENUE","06053","444190","444190: Other Building Material Dealers","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRADCO SUPPLY CORP.","ABC Supply","$6,851","$0","$6,851","2007","20070904","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","LAKEWOOD","691 NEW HAMPSHIRE AVE.","08701","444110","444110: Home Centers","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRADCO SUPPLY CORP.","ABC Supply","$7,000","$0","$7,000","2007","20070215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","5420 N. 56TH ST.","33610","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABC SUPPLY COMPANY INC","ABC Supply","$48,750","$0","$48,750","2005","20050413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","6844 CAHUENGA PARK TRAIL","90068","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABC SUPPLY COMPANY INC","ABC Supply","$8,250","$0","$8,250","2005","20050902","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","6333 SEQUENCE DR","92121","238310","238310: Drywall and Insulation Contractors","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABC SUPPLY CO., INC.","ABC Supply","$5,745","$0","$5,745","2005","20050104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GILROY","8211 SWANSTON LANE","95020","238160","238160: Roofing Contractors","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ABC SUPPLY COMPANY INC","ABC Supply","$52,000","$0","$52,000","2011","20110126","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010SO700205","","","","","","","","","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Bradco Supply Corp.","ABC Supply","$100,000","$0","$100,000","2004","20040326","employment-related offenses","employment discrimination","","national origin","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","","","","","","USA","Wisconsin","privately held","","wholesalers","wholesalers-construction materials","https://web.archive.org/web/20090813022314/http://eeoc.gov/litigation/settlements/settlement03-04.html",""
