"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ABM Industries Inc.","ABM Industries","$5,800,000","$0","$5,800,000","2010","20100902","employment-related offenses","employment discrimination","","Sexual Harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","New York","publicly traded","NYSE: ABM","business services","business services","https://www.eeoc.gov/eeoc/newsroom/release/9-2-10.cfm","Description field shows type of discrimination that EEOC had alleged."
"ABM Industries Inc.","ABM Industries","$180,000","$0","$180,000","2011","20110914","employment-related offenses","employment discrimination","","National Origin; Race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","New York","publicly traded","NYSE: ABM","business services","business services","https://www.eeoc.gov/eeoc/newsroom/release/9-14-11c.cfm","Description field shows type of discrimination that EEOC had alleged."
"ABM Industries Incorporated","ABM Industries","$51,435","$0","$51,435","2008","20081031","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1540335","","","Texas","Houston","","77074","561612","561612: Security Guards and Patrol Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries Incorporated","ABM Industries","$34,576","$0","$34,576","2009","20091208","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1564649","","","New York","New York","","10001","561612","561612: Security Guards and Patrol Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries Incorporated","ABM Industries","$22,819","$0","$22,819","2007","20070209","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1473920","","","California","San Francisco","","94111","5614","5614: Business Support Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries Incorporated","ABM Industries","$20,088","$0","$20,088","2005","20050606","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1408832","","","California","Santa Rosa","","95403","561720","561720: Janitorial Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries Incorporated","ABM Industries","$18,347","$0","$18,347","2014","20141105","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-117679","","","Alabama","Birmingham","","","","","USA","New York","publicly traded","NYSE: ABM","business services","business services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"ABM Industries Incorporated","ABM Industries","$7,078","$0","$7,078","2008","20080131","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501667","","","California","San Francisco","","94111","561720","561720: Janitorial Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries, Inc","ABM Industries","$10,849","$0","$10,849","2011","20110926","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1620778","","","Florida","Tampa","","33634","561730","561730: Landscaping Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABM Industries, Inc.","ABM Industries","$13,767","$0","$13,767","2002","20021016","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1235812","","","Louisiana","Jefferson","","70123","56172","56172: Janitorial Services","USA","New York","publicly traded","NYSE: ABM","business services","business services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
