"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alchem Aluminum, Inc.","Aditya Birla Group","$19,400","$0","$19,400","2002","20021212","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-44444-001","","","Michigan","Saginaw","","49601","336111","336111: Automobile Manufacturing","India","","privately held","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Aleris International Inc.","Aditya Birla Group","$8,800,000","$0","$8,800,000","2009","20090804","environment-related offenses","environmental violation","","Aleris International Inc. and 13 of its subsidiaries committed to implementing environmental improvements and controls projected to cost $4.2 million at 15 plants located in 11 states. The company also agreed to a $4.6 million civil penalty to resolve violations of the Clean Air Act.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","India","","privately held","","diversified","diversified","https://www.justice.gov/opa/pr/aluminum-recycler-agrees-resolve-clean-air-act-violations",""
"Aleris International, Inc.","Aditya Birla Group","$580,326","$0","$580,326","2007","20070901","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1483477","","","Ohio","Beachwood","","44122","423930","423930: Recyclable Material Merchant Wholesalers","India","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Novelis Corporation","Aditya Birla Group","$7,000","$0","$7,000","2016","20160513","safety-related offenses","nuclear safety violation","","The NRC issued a Notice of Violation and Proposed Imposition of a Civil Penalty in the amount of $7,000 to Novelis Corporation for a Severity Level III violation. The violation involved the deliberate repairs of a nuclear gauge that were not permitted under the terms of Novelis' NRC License. ","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","India","","privately held","","diversified","diversified","http://www.nrc.gov/docs/ML1613/ML16133A089.pdf",""
"COMMONWEALTH ALUMINUM LEWISPORT, LLC","Aditya Birla Group","$17,425","$0","$17,425","2010","20100218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEWISPORT","1372 STATE ROAD 1957","42351","331315","331315: Aluminum Sheet, Plate, and Foil Manufacturing","India","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALERIS ROLLED PRODUCTS","Aditya Birla Group","$6,315","$0","$6,315","2010","20100416","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","UHRICHSVILLE","7319 NEWPORT ROAD SE","44863","331315","331315: Aluminum Sheet, Plate, and Foil Manufacturing","India","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALERIS INTERNATIONAL, INC.","Aditya Birla Group","$5,000","$0","$5,000","2008","20081215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEWISPORT","1372 ST RD 1957","42351","331315","331315: Aluminum Sheet, Plate, and Foil Manufacturing","India","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALERIS INTERNATIONAL, INC.","Aditya Birla Group","$7,125","$0","$7,125","2008","20080313","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEWISPORT","1372 ST RD 1957","42351","331315","331315: Aluminum Sheet, Plate, and Foil Manufacturing","India","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALERIS INTERNATIONAL, INC.","Aditya Birla Group","$6,800","$0","$6,800","2007","20070425","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEWISPORT","1372 ST RD 1957","42351","331315","331315: Aluminum Sheet, Plate, and Foil Manufacturing","India","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Columbian Chemicals Company","Aditya Birla Group","$95,025,000","$0","$95,025,000","2017","20171222","environment-related offenses","environmental violation","","The EPA and the Department of Justice announced a settlement resolving Clean Air Act claims by the United States and the states of Kansas and Louisiana against carbon black manufacturer Columbian Chemicals Company. The company agreed to install and operate state-of-the-art pollution control technologies costing about $94 million, spend $375,000 on environmental mitigation projects and pay a civil penalty of $650,000.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","India","","privately held","","diversified","diversified","https://www.epa.gov/enforcement/reference-news-release-epa-doj-announce-settlement-carbon-black-producer-columbian",""
