"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Evoqua Water Technologies LLC","AEA Investors","$62,000","$0","$62,000","2019","20190523","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Vernon","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/6520871818/Evoqua%5FCEI2016%5FCO%5F052319%2Epdf",""
"Evoqua Water Technologies LLC","AEA Investors","$13,500","$0","$13,500","2016","20160630","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Los Angeles","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/2123181998/Evoqua%5FCEI2015%5FCO063016%2Epdf",""
"Evoqua Water Technologies LLC","AEA Investors","$11,000","$0","$11,000","2014","20140807","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Los Angeles","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/2469251334/Siemens%5FCEI2013%5FCO080714%2Epdf",""
"Siemens Water Technologies Corp.","AEA Investors","$10,000","$0","$10,000","2011","20110517","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Los Angeles","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/1862943351/Siemens%5FENF%5FCO%5F2011%2Epdf",""
"Siemens Water Technologies Corp.","AEA Investors","$8,000","$0","$8,000","2009","20090115","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Los Angeles","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/8221692740/Siemens%5FENF%5FCO2009%2Epdf",""
"Evoqua Water Technologies LLC","AEA Investors","$5,935","$0","$5,935","2000","20000426","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20000001","","","Minnesota","Roseville","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"EVOQUA WATER TECHNOLOGIES","AEA Investors","$11,200","$0","$11,200","2019","20191213","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD986582898-NEA190001","","","New Jersey","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"EVOQUA WATER TECHNOLOGIES","AEA Investors","$5,000","$0","$5,000","2002","20020702","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD986582898-PEA020002","","","New Jersey","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Swanson Plating Corporation, Inc.","AEA Investors","$5,880","$0","$5,880","2021","20210106","environment-related offenses","environmental violation","","","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://documents.dep.wv.gov/AppXtender/datasources/DEPAX16/applications/38/document/910547?lqid=-14&lqrid=%7B0e5325b6-5ee1-49ab-9f64-7a9c7cf4662f%7D&lqaid=38&qrid=%7B0e5325b6-5ee1-49ab-9f64-7a9c7cf4662f%7D&qridx=32",""
"SIEMENS WATER TECHNOLOGIES CORP.","AEA Investors","$8,800","$0","$8,800","2010","20100125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","LOWELL","10 TECHNOLOGY DRIVE","01851","334513","334513: Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SWANSON PLATING COMPANY, INC.","AEA Investors","$8,663","$0","$8,663","2011","20110503","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","MORGANTOWN","2608 SMITHTOWN ROAD","26508","333995","333995: Fluid Power Cylinder and Actuator Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARAMSCO INC.","AEA Investors","$5,400","$0","$5,400","2012","20120319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","PAULSBORO","1480 GRANDVIEW AVE","08066","423840","423840: Industrial Supplies Merchant Wholesalers","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PEXCO L.L.C.","AEA Investors","$18,600","$0","$18,600","2013","20130325","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","12955 EMMETT ROAD","77041","326199","326199: All Other Plastics Product Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAYTON PARTS, LLC","AEA Investors","$10,500","$0","$10,500","2015","20150831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HARRISBURG","1300 N. CAMERON STREET","17103","332613","332613: Spring Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PEXCO LLC","AEA Investors","$5,000","$0","$5,000","2016","20160106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","ATHOL","764 SOUTH ATHOL ROAD","01331","325211","325211: Plastics Material and Resin Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EVOQUA WATER TECHNOLOGIES LLC.","AEA Investors","$5,250","$0","$5,250","2016","20160331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","LIMA","2200 FORT AMANDA ROAD","45802","811310","811310: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARAMSCO, INC.","AEA Investors","$5,000","$0","$5,000","2016","20160505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ELGIN","1201 GATEWAY DR.","60120","424990","424990: Other Miscellaneous Nondurable Goods Merchant Wholesalers","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
