"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Transamerica Financial Advisors","Aegon","$1,107,248","$0","$1,107,248","2014","20140403","financial offenses","investor protection violation","","Transamerica Financial Advisors agreed to provide refunds to clients and pay a penalty to settle allegations that it overcharged clients by improperly calculating advisory fees.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370541392449",""
"Transamerica Life Insurance Company","Aegon","$70,143","$0","$70,143","2015","20150404","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1722505","","","Texas","Bedford","","76021","52411","52411: Direct Life, Health, and Medical Insurance Carriers","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"World Group Securities, Inc.","Aegon","$200,000","$0","$200,000","2010","20101122","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://www.sec.gov/litigation/admin/2010/34-63354.pdf",""
"AEGON USA Investment Management LLC et al.","Aegon","$97,600,000","$0","$97,600,000","2018","20180827","financial offenses","investor protection violation","","The Securities and Exchange Commission announced charges against four Transamerica entities for misconduct involving faulty investment models and ordered the entities to refund $97 million to misled retail investors.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://www.sec.gov/news/press-release/2018-167",""
"Transamerica Corporation","Aegon","$3,800,000","$0","$3,800,000","2016","20161028","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of Iowa","1:15-cv-0030","Lequita Dennard v. Transamerica Corporation, et al","settlement","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://www.law360.com/articles/812775",""
"Transamerica Financial Advisors, Inc.","Aegon","$6,023,072","$0","$6,023,072","2019","20190311","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://www.sec.gov/litigation/admin/2019/ia-5150.pdf",""
"Transamerica Life Insurance Co.","Aegon","$1,330,000","$0","$1,330,000","2013","20130313","consumer-protection-related offenses","insurance violation","","Transamerica agreed to pay $1.33 million to settle allegations it marketed unauthorized health insurance products in Massachusetts and failed to cover mandated benefits.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://web.archive.org/web/20130413070046/http://www.mass.gov/ago/news-and-updates/press-releases/2013/2013-03-13-transamerica-settlement.html",""
"Transamerica Premier Life Insurance Co.","Aegon","$19,647","$0","$19,647","2018","20180627","consumer-protection-related offenses","insurance violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://wayback.archive-it.org/1101/20181226223739/https://www.mass.gov/news/life-insurance-company-to-refund-massachusetts-consumers-targeted-by-unlicensed-agent",""
"Transamerica Insurance Co.","Aegon","$11,200,000","$0","$11,200,000","2013","20130909","consumer-protection-related offenses","insurance violation","","Transamerica agreed to pay $11.2 million to settle multistate litigation regarding its use of the Social Security Administration's Death Master File.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","Department of Insurance Announces a Multi-Million Dollar Settlement with Transamerica, Targeted News Service, September 9, 2013 (via Nexis).",""
"World Group Securities, Inc.","Aegon","$853,501","$0","$853,501","2010","20100517","financial offenses","investor protection violation","financial institution supervision failures","World Group Securities agreed to pay $828,501 in restitution and a $50,000 administrative penalty ($25,000 if paid promptly) in settlement of allegations it failed to supervise its registered securities salesmen, allowing fraudulent acts to be carried out by salesmen under its supervisory control.","state","agency action","Arizona Corporation Commission","civil","","","","","","Arizona","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://images.edocket.azcc.gov/docketpdf/0000112041.pdf",""
"Monumental Life Insurance Co.","Aegon","$57,000","$0","$57,000","2015","20150724","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://insurance.az.gov/sites/default/files/documents/files/150046.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Transamerica Life Insurance Co.","Aegon","$6,270","$0","$6,270","2012","20120430","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","Netherlands","","publicly traded","NYSE: AEG","financial services","insurance","https://drive.google.com/file/d/0B_UoCf17OVmWNmNGb0wtNERRWmM/view",""
