"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ag Processing Inc","Ag Processing Inc.","$96,588","$0","$96,588","2011","20111116","environment-related offenses","environmental violation","","Ag Processing Inc (AGP), a farmer-owned cooperative involved in the acquisition, processing and marketing of grain products, has agreed to pay a $96,588 civil penalty to the United States for its failure to develop and implement a Facility Response Plan for its soybean processing facility in Mason City, Iowa.","federal","agency action","Environmental Protection Agency","civil","","","","","","Iowa","Mason City","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/6cdd99a0f3862dab8525794a006ad265.html",""
"AG PROCESSING INC.","Ag Processing Inc.","$9,500","$0","$9,500","2011","20111117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"AG PROCESSING INC.","Ag Processing Inc.","$6,000","$0","$6,000","2005","20050125","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"AG PROCESSING INC.","Ag Processing Inc.","$5,000","$0","$5,000","2007","20070213","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"AG PROCESSING INCORPORATED","Ag Processing Inc.","$132,500","$0","$132,500","2008","20080722","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","SERGEANT BLUFF","2753 PORT NEAL CIRCLE","51054","311222","311222: Soybean Processing","USA","Nebraska","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AG PROCESSING INCORPORATED","Ag Processing Inc.","$95,000","$0","$95,000","2003","20030904","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","SERGEANT BLUFF","2753 PORT NEAL CIRCLE","51054","311222","311222: Soybean Processing","USA","Nebraska","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AG PROCESSING INCORPORATED","Ag Processing Inc.","$9,000","$0","$9,000","2000","20000830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","GARNER","390 E. 5TH STREET","50438","000000","","USA","Nebraska","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AG PROCESSING INCORPORATED","Ag Processing Inc.","$10,500","$0","$10,500","2000","20000830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","GARNER","390 E. 5TH STREET","50438","000000","","USA","Nebraska","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ag Processing, Inc.","Ag Processing Inc.","$700,000","$0","$700,000","2018","20180820","environment-related offenses","environmental violation","","Clean Water Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","https://www.epa.gov/newsreleases/epa-and-doj-reach-settlement-ag-processing-inc-help-prevent-and-prepare-accidental-oil",""
"AG Processing Inc","Ag Processing Inc.","$400,000","$0","$400,000","2021","20210128","financial offenses","investor protection violation","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Nebraska","cooperative","","agribusiness","agribusiness","https://www.cftc.gov/PressRoom/PressReleases/8358-21",""
