"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AHLSTROM ENGINE FILTRATION LLC","Ahlstrom-Munksjo","$10,001","$0","$10,001","2007","20071017","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Connecticut","","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"AHLSTROM USA, INC.","Ahlstrom-Munksjo","$50,001","$0","$50,001","2008","20080208","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Connecticut","","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $50,001 to $100,000."
"Ahlstrom Windsor Locks LLC","Ahlstrom-Munksjo","$37,500","$0","$37,500","2004","20041109","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","Windsor Locks","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","https://www.depdata.ct.gov/enforcement/createrpt.asp?Programopt=Air&Townopt=Andover&select=all&B1=Submit","Captured from summaries produced by DEP; may not include full details of penalties."
"MUNKSJO PAPER INC","Ahlstrom-Munksjo","$9,722","$0","$9,722","2009","20090824","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Fitchburg","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=MUNKSJO PAPER INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"MUNKSJO PAPER INC","Ahlstrom-Munksjo","$30,000","$0","$30,000","2001","20011224","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Fitchburg","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=MUNKSJO PAPER INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"MUNKSJO PAPER INC","Ahlstrom-Munksjo","$7,500","$0","$7,500","2001","20010829","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Fitchburg","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=MUNKSJO PAPER INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Ahlstrom West Carrollton, LLC","Ahlstrom-Munksjo","$17,500","$0","$17,500","2010","20101222","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","West Carrolton","","","","","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=56942","Penalty listed includes a $3,500 Supplemental Environmental Project. Modified version filed 11 Feb 2011 with no change in penalty."
"EXPERA SPECIALTY SOLUTIONS LLC","Ahlstrom-Munksjo","$8,330","$0","$8,330","2014","20140711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY ROAD","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM NONWOVENS, LLC","Ahlstrom-Munksjo","$6,300","$0","$6,300","2015","20150501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","WINDSOR LOCKS","3 CHIRNSIDE DRIVE","06096","313230","313230: Nonwoven Fabric Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EXPERA SPECIALTY SOLUTIONS, LLC","Ahlstrom-Munksjo","$7,560","$0","$7,560","2015","20150514","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","OLD TOWN","24 PORTLAND ST","04468","322110","322110: Pulp Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EXPERA SPECIALTY SOLUTIONS, LLC","Ahlstrom-Munksjo","$5,600","$0","$5,600","2015","20150514","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","OLD TOWN","24 PORTLAND ST","04468","322110","322110: Pulp Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EXPERA SPECIALTY SOLUTIONS, LLC","Ahlstrom-Munksjo","$30,800","$0","$30,800","2015","20150602","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","OLD TOWN","24 PORTLAND STREET","04468","322110","322110: Pulp Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EXPERA SPECIALTY SOLUTIONS LLC","Ahlstrom-Munksjo","$9,054","$0","$9,054","2018","20180628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY ROAD","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM-MUNKSJO","Ahlstrom-Munksjo","$13,260","$0","$13,260","2019","20190918","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY RD.","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM-MUNKSJO","Ahlstrom-Munksjo","$13,494","$0","$13,494","2020","20200205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","RHINELANDER","114 W KEMP ST","54501","322299","322299: All Other Converted Paper Product Manufacturing","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM-MUNKSJO","Ahlstrom-Munksjo","$9,446","$0","$9,446","2020","20200224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY ROAD","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM-MUNKSJO","Ahlstrom-Munksjo","$7,659","$0","$7,659","2021","20210106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY RD.","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHLSTROM-MUNKSJO","Ahlstrom-Munksjo","$10,922","$0","$10,922","2021","20210729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","KAUKAUNA","600 THILMANY RD.","54130","322121","322121: Paper (except Newsprint) Mills","Finland","","publicly traded","","miscellaneous manufacturing","fiber-based products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
