"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ABX, INC","Air Transport Services Group","$10,000","$0","$10,000","2007","20070530","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2005EA700623 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX Air","Air Transport Services Group","$10,000","$0","$10,000","2004","20040819","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1379175","","","Ohio","Wilmington","","45177","481112","481112: Scheduled Freight Air Transportation","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABX AIR INC","Air Transport Services Group","$30,000","$0","$30,000","2009","20090612","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008EA700252 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$20,000","$0","$20,000","2009","20090327","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008NM700125 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$8,800","$0","$8,800","2009","20090327","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008NM700075 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$55,000","$0","$55,000","2002","20020711","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000CE010054 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$55,000","$0","$55,000","2000","20000509","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","1997SO730531 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$45,000","$0","$45,000","2007","20070801","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2006GL700267 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$40,000","$0","$40,000","2016","20161209","safety-related offenses","aviation safety violation","","HAZ MAT","federal","agency action","Federal Aviation Administration","civil","","","2013SO700504","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ABX AIR INC","Air Transport Services Group","$22,000","$0","$22,000","2007","20071016","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2007NM700023 ","","","","","","","","","USA","Ohio","publicly traded","ATSG","freight and logistics","air cargo","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
