"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Akebono Brake Corporation","Akebono Brake Industry","$7,800","$0","$7,800","2016","20160307","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","","","","South Carolina","West Columbia","","","","","Japan","","publicly traded","","automotive parts","automotive parts","https://scdhec.gov/sites/default/files/docs/Environment/docs/Enforcement/2016/BoardCopy.May.16.pdf",""
"AKEBONO BRAKE CORPORATION DBA  AKEBONO BRAKE ELIZA","Akebono Brake Industry","$5,000","$0","$5,000","2012","20121127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE CORPORATION","Akebono Brake Industry","$26,000","$0","$26,000","2012","20120220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE","Akebono Brake Industry","$14,000","$0","$14,000","2013","20130321","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLASGOW","1765 CLEVELAND AVE","42141","336399","336399: All Other Motor Vehicle Parts Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE CORPORATION DBA  AKEBONO BRAKE ELIZA","Akebono Brake Industry","$17,000","$0","$17,000","2013","20130322","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE, ELIZABETHTOWN PLANT","Akebono Brake Industry","$5,250","$0","$5,250","2014","20140805","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","300 RING ROAD","42701","336399","336399: All Other Motor Vehicle Parts Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE CORPORATION DBA  AKEBONO GLASGOW","Akebono Brake Industry","$7,000","$0","$7,000","2015","20150604","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLASGOW","1765 CLEVELAND AVE","42141","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE CORPORATION","Akebono Brake Industry","$5,250","$0","$5,250","2015","20150507","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CLARKSVILLE","780 INTERNATIONAL BLVD.","37040","811118","811118: Other Automotive Mechanical and Electrical Repair and Maintenance","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE CORPORATION","Akebono Brake Industry","$6,748","$0","$6,748","2016","20160218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","South Carolina","WEST COLUMBIA","201 METROPOLITAN DRIVE","29170","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE, ELIZABETHTOWN PLANT","Akebono Brake Industry","$7,000","$0","$7,000","2016","20160721","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLENDALE","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE ELIZABETHTOWN PLANT","Akebono Brake Industry","$10,000","$0","$10,000","2017","20170809","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLENDALE","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE, ELIZABETHTOWN PLANT","Akebono Brake Industry","$6,300","$0","$6,300","2018","20181211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLENDALE","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AKEBONO BRAKE, ELIZABETHTOWN PLANT","Akebono Brake Industry","$5,600","$0","$5,600","2020","20200911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GLENDALE","300 RING ROAD","42701","336340","336340: Motor Vehicle Brake System Manufacturing","Japan","","publicly traded","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
