"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alaska Airlines","Alaska Air","$7,500","$0","$7,500","2001","20011127","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","FOIA566","Source document obtained through a Freedom of Information Act request to the agency."
"ALASKA AIRLINES INC","Alaska Air","$11,000","$0","$11,000","2009","20090430","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2009NM700016 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$45,000","$0","$45,000","2001","20010523","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2000NM010224 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$35,000","$0","$35,000","2001","20010525","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2000SW130039 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$33,000","$0","$33,000","2001","20010125","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2000NM010028 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$28,000","$0","$28,000","2001","20010720","safety-related offenses","aviation safety violation","","RECORDS/RPT S ","federal","agency action","Federal Aviation Administration","civil","","","2000NM010157 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$26,000","$0","$26,000","2001","20010123","safety-related offenses","aviation safety violation","","SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000AL720065 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$20,000","$0","$20,000","2001","20010125","safety-related offenses","aviation safety violation","","TRNG-OTHER ","federal","agency action","Federal Aviation Administration","civil","","","2000AL700035 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$18,000","$0","$18,000","2001","20010720","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2001NM020057 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALASKA AIRLINES INC","Alaska Air","$10,000","$0","$10,000","2001","20010125","safety-related offenses","aviation safety violation","","SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000AL720110 ","","","","","","","","","USA","Washington","publicly traded","ALK","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
