"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ALFA LAVAL, INC.","Alfa Laval","$9,250","$0","$9,250","2008","20081121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","12249-B FM 529","77041","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL, INCORPORATED","Alfa Laval","$7,735","$0","$7,735","2007","20071212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYKENS","300 CHESTNUT STREET","17048","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC","Alfa Laval","$7,500","$0","$7,500","2004","20041203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","HENRICO","5400 INTERNATIONAL TRADE DR.","23231","333294","333294: Food Product Machinery Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA-LAVAL SEPARATION INC.","Alfa Laval","$6,750","$0","$6,750","2001","20011113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","CHESAPEAKE","3944 HOLLAND BLVD.","23323","000000","","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL, INCORPORATED","Alfa Laval","$9,602","$0","$9,602","2005","20050808","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYKENS","300 CHESTNUT STREET","17048","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Alfa Laval Inc. and Alfa Laval Middle East Ltd.","Alfa Laval","$215,000","$0","$215,000","2021","20210712","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Sweden","","publicly traded","","industrial equipment","industrial equipment","https://efoia.bis.doc.gov/index.php/documents/export-violations/export-violations-2021/1318-e2671/file",""
"Alfa Laval Inc.","Alfa Laval","$16,875","$0","$16,875","2021","20210719","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Sweden","","publicly traded","","industrial equipment","industrial equipment","https://home.treasury.gov/system/files/126/20210719_al.pdf",""
"Alfa Laval Middle East Ltd.","Alfa Laval","$415,965","$0","$415,965","2021","20210719","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Sweden","","publicly traded","","industrial equipment","industrial equipment","https://home.treasury.gov/system/files/126/20210719_al_middle_east.pdf",""
"ALFA LAVAL, INCORPORATED","Alfa Laval","$12,600","$0","$12,600","2011","20110525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYKENS","300 CHESTNUT STREET","17048","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC","Alfa Laval","$5,882","$0","$5,882","2011","20110310","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","HENRICO","5400 INTERNATIONAL TRADE DR.","23231","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC.","Alfa Laval","$122,000","$0","$122,000","2014","20141208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BROKEN ARROW","1201 S. 9TH STREET","74012","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC.","Alfa Laval","$226,500","$0","$226,500","2014","20141125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BROKEN ARROW","1201 S. 9TH STREET","74012","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL, INC.","Alfa Laval","$31,030","$0","$31,030","2015","20151027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","12249-B FM 529","77041","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL, INC.","Alfa Laval","$98,630","$0","$98,630","2015","20151027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","12249-B FM 529","77041","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC.","Alfa Laval","$24,000","$0","$24,000","2016","20160126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BROKEN ARROW","1201 S. 9TH STREET","74012","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRANTER INC","Alfa Laval","$19,242","$0","$19,242","2016","20160831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","FARMERSVILLE","30241 E FRONTAGE ROAD","62533","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRANTER INC.","Alfa Laval","$6,520","$0","$6,520","2016","20161031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","FARMERSVILLE","30241 EAST FRONTAGE ROAD","62533","332811","332811: Metal Heat Treating","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRANTER, INC.","Alfa Laval","$14,500","$0","$14,500","2018","20180213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","WICHITA FALLS","1900 OLD BURK HIGHWAY","76306","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC.","Alfa Laval","$6,400","$0","$6,400","2018","20180912","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BROKEN ARROW","1201 S. 9TH STREET","74012","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALFA LAVAL INC.","Alfa Laval","$8,000","$0","$8,000","2020","20201207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BROKEN ARROW","1201 S. 9TH STREET","74012","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Sweden","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
