"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Empire District Electric Company","Algonquin Power & Utilities","$50,000","$0","$50,000","2005","20050131","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-22679-001","","","Missouri","Joplin","","64802","221122","221122: Electric Power Distribution","Canada","","publicly traded","","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Algonquin Power Windsor Locks LLC","Algonquin Power & Utilities","$2,119,073","$0","$2,119,073","2021","20210105","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://cms.ferc.gov/sites/default/files/2021-01/20210105-174FERC61001-Algonquin%20Agreement.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$13,000","$0","$13,000","2013","20131230","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1302LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1302LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$5,000","$0","$5,000","2013","20131230","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1301LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1301LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$8,000","$0","$8,000","2014","20140321","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1304LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1304LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$20,000","$0","$20,000","2014","20140321","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1303LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1303LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$36,250","$0","$36,250","2014","20140729","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1402LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1402LU.pdff",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$11,500","$0","$11,500","2015","20150123","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1502LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202015/PS1502LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$16,000","$0","$16,000","2015","20150123","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1501LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202015/PS1501LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$9,000","$0","$9,000","2016","20160303","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1603LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1603LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$5,000","$0","$5,000","2016","20160304","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1602LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1602LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$8,000","$0","$8,000","2017","20170303","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1703LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1703LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$5,000","$0","$5,000","2017","20170303","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1702LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1702LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$14,000","$0","$14,000","2017","20170303","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1701LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1701LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$14,600","$0","$14,600","2017","20170410","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1705LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1705LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$19,000","$0","$19,000","2017","20170413","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1706LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1706LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$40,500","$0","$40,500","2017","20170728","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1707LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1707LU.pdf",""
"Liberty Utilities, New Hampshire Gas Division","Algonquin Power & Utilities","$28,000","$0","$28,000","2017","20170905","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1709LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202017/PS1709LU.pdf",""
"Liberty Utilities, Keene Division","Algonquin Power & Utilities","$20,000","$0","$20,000","2017","20171229","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1710LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202018/PS1710LU.pdf",""
"Liberty Utilities (EnergyNorth Natural Gas) Corp. d/b/a Liberty","Algonquin Power & Utilities","$27,000","$0","$27,000","2018","20180126","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1801LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202018/PS1801LU.pdf",""
"Liberty Utilities (EnergyNorth Natural Gas) Corp. d/b/a Liberty","Algonquin Power & Utilities","$15,000","$0","$15,000","2018","20181120","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1802LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202018/PS1802LU.pdf",""
"Liberty Utilities (EnergyNorth Natural Gas) Corp. d/b/a Liberty","Algonquin Power & Utilities","$74,000","$0","$74,000","2018","20181207","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1803LU","","","New Hampshire","","","","","","Canada","","publicly traded","","utilities and power generation","utilities","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202018/20190109-Liberty-Utilities-NOPVPS1803LU.pdf",""
