"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ALLEGIANT AIR INC","Allegiant Air","$8,000","$0","$8,000","2006","20061208","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2003WP170035 ","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALLEGIANT AIR LLC","Allegiant Air","$175,000","$0","$175,000","2015","20150708","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALLEGIANT AIR LLC","Allegiant Air","$22,500","$0","$22,500","2011","20110228","safety-related offenses","aviation safety violation","","OTHER ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALLEGIANT AIR LLC","Allegiant Air","$15,000","$0","$15,000","2010","20101006","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALLEGIANT AIR LLC","Allegiant Air","$13,000","$0","$13,000","2008","20080103","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2007NM910005 ","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Allegiant Air, LLC","Allegiant Air","$100,000","$0","$100,000","2012","20120215","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-2-10.pdf",""
"Allegiant Air, LLC","Allegiant Air","$50,000","$0","$50,000","2008","20080915","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2008-09-18.pdf",""
"ALLEGIANT AIR LLC","Allegiant Air","$6,000","$0","$6,000","2017","20170201","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","2015WP190098","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Allegiant Air","Allegiant Air","$35,000","$0","$35,000","2018","20180109","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/resources/individuals/aviation-consumer-protection/303106/order-2018-1-6.pdf",""
"ALLEGIANT AIR LLC","Allegiant Air","$30,000","$0","$30,000","2017","20170731","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","2016WP910068","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ALLEGIANT AIR LLC","Allegiant Air","$49,750","$0","$49,750","2017","20171012","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","2015WP190001  ","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/media/q4-17.pdf",""
"Allegiant Air LLC","Allegiant Air","$250,000","$0","$250,000","2018","20180408","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Nevada","publicly traded","ALGT","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/resources/individuals/aviation-consumer-protection/308481/allegiant-order-2018-4-8.pdf",""
