"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"River View Coal, LLC","Alliance Resource Partners","$245,000","$0","$245,000","2013","20130926","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","https://www.eeoc.gov/eeoc/newsroom/release/9-26-13a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Mettiki Coal","Alliance Resource Partners","$150,000","$0","$150,000","2007","20070718","environment-related offenses","environmental violation","","","state","agency action","Maryland Attorney General","civil","","","","","","Maryland","Oakland","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","http://www.marylandattorneygeneral.gov/press/2007/071807.pdf",""
"WHITE OAK RESOURCES","Alliance Resource Partners","$40,000","$0","$40,000","2015","20151020","environment-related offenses","environmental violation","","waste management violation","state","agency action","Illinois Environmental Protection Agency","civil","","","15-213","","","Illinois","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"Alliance Coal, LLC","Alliance Resource Partners","$5,000","$0","$5,000","2019","20190916","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW-18-3-0145","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"HOPKINS COUNTY COAL, LLC","Alliance Resource Partners","$70,000","$0","$70,000","2018","20180813","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -160024","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SEBREE MINING, LLC","Alliance Resource Partners","$40,000","$0","$40,000","2018","20180130","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -34317","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"RIVER VIEW COAL LLC","Alliance Resource Partners","$12,000","$0","$12,000","2017","20170517","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -150503","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"HOPKINS COUNTY COAL LLC","Alliance Resource Partners","$35,000","$0","$35,000","2011","20111229","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -42462","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"WARRIOR COAL LLC","Alliance Resource Partners","$106,300","$0","$106,300","2011","20111229","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -41501","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"WEBSTER COUNTY COAL LLC","Alliance Resource Partners","$5,000","$0","$5,000","2011","20111229","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -42543","","","Kentucky","","","","","","USA","Oklahoma","publicly traded","ARLP","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
