"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Allianz SE","Allianz","$12,396,423","$0","$12,396,423","2012","20121217","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171486902",""
"Fireman's Fund Insurance Company","Allianz","$44,000,000","$0","$44,000,000","2015","20150323","government-contracting-related offenses","False Claims Act and related","","Fireman's Fund Insurance Company agreed to pay $44 million to settle allegations under the False Claims Act that it knowingly issued insurance policies that were ineligible under the U.S. Department of Agriculture's federal crop insurance program and falsified documents.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.justice.gov/opa/pr/firemans-fund-insurance-company-pay-44-million-settle-false-claims-act-allegations",""
"PA Fund Management LLC, PEA Capital LLC and PA Distributors LLC","Allianz","$50,000,000","$0","$50,000,000","2004","20040913","financial offenses","investor protection violation","","PA Fund Management LLC, PEA Capital LLC, and PA Distributors LLC agreed to pay $50 million to settle allegations that they defrauded investors in the PIMCO Funds: Multi-Manager Series in connection with an undisclosed market timing arrangement.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.sec.gov/news/press/2004-127.htm",""
"PA Fund Management LLC, PEA Capital LLC and PA Distributors LLC","Allianz","$11,600,000","$0","$11,600,000","2004","20040915","financial offenses","investor protection violation","","The investment adviser, sub-adviser, and principal underwriter and distributor for the PIMCO Funds Multi-Manager Series funds agreed to pay $11.6 million to settle allegations that they failed to disclose to the PIMCO MMS Funds' Board of Trustees and shareholders material facts and conflicts of interest that arose from their use of shelf space arrangements with selected broker-dealers.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.sec.gov/news/press/2004-130.htm",""
"Allianz Asset Management of America, L.P.","Allianz","$12,000,000","$0","$12,000,000","2018","20180730","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Central District of California","8:15-cv-1614","Aleksandr Urakhchin et al v. Allianz Asset Management of America, L.P., et al.","settlement","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.investmentnews.com/article/20180102/FREE/180109996/allianz-agrees-to-settle-401-k-fee-lawsuit-for-12-million",""
"Allianz Dresdner Asset Management of America LP","Allianz","$18,000,000","$0","$18,000,000","2004","20040601","financial offenses","investor protection violation","","market timing","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","Germany","","publicly traded","","financial services","insurance","https://web.archive.org/web/20050210051055/https://www.nj.gov/oag/newsreleases04/pr20040601a.html",""
"Allianz Life Insurance Company of North America","Allianz","$500,000","$0","$500,000","2007","20071008","financial offenses","investor protection violation","","Allianz agreed to pay $500,000 in fees and expenses as well as refunds in settlement of allegations it sold unsuitable deferred annuities to seniors, and may have misrepresented the terms.","state","agency action","Minnesota Attorney General","civil","","","","","","Minnesota","","","","","","Germany","","publicly traded","","financial services","insurance","https://web.archive.org/web/20071103073439/http://www.ag.state.mn.us:80/Consumer/PressRelease/071008AllianzSettlement.asp",""
"Allianz Life Insurance Company of North America","Allianz","$4,700,000","$0","$4,700,000","2015","20150108","consumer-protection-related offenses","insurance violation","","Allianz agreed to pay $4.7 million to settle multistate litigation regarding its use of the Social Security Administration's Death Master File.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://dlr.sd.gov/insurance/market_conduct_multi_state_examinations/documents/allianz_life_ins_co_of_north_america.pdf",""
"Allianz Life Insurance Company of North America","Allianz","$10,000,000","$0","$10,000,000","2012","20120906","consumer-protection-related offenses","insurance violation","","Allianz agreed to pay $10 million to settle multistate litigation arising out of complaints from customers about the way in which the company sold fixed annuities.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","Agreement Reached with Allianz Life Insurance Company, States News Service, September 6, 2012 (via Nexis).",""
"American Automobile Insurance Co.","Allianz","$571,394","$0","$571,394","2011","20111003","consumer-protection-related offenses","consumer protection violation","","Premier Insurance Company of Massachusetts, American Automobile Insurance Company,and Electric Insurance Company agreed to pay a total of $5.6 million in restitution, resolving allegations that they overcharged consumers for motorcycle insurance.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Germany","","publicly traded","","financial services","insurance","https://web.archive.org/web/20111231111508/http://www.mass.gov/ago/news-and-updates/press-releases/2011/2011-10-03-motorcycle-refunds.html",""
"Allianz Global Risks U.S. Insurance Compan","Allianz","$170,535","$0","$170,535","2019","20191209","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20191209_agr.pdf",""
"Allianz Life Insurance Company of North America","Allianz","$425,000","$0","$425,000","2005","20050107","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Germany","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Allianz Life Insurance Company of North America","Allianz","$10,050,000","$0","$10,050,000","2008","20080214","consumer-protection-related offenses","insurance violation","","Allianz agreed to pay a $3 million penalty and $300,000 in costs; make a $3.75 million contribution to the Life and Annuity Consumer Protection Fund; and pay $3 million into the California Organized Investment Network, in settlement of allegations it violated the California Insurance Code by encouraging clients to buy unsuitable annuities.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Germany","","publicly traded","","financial services","insurance","https://web.archive.org/web/20110225122519/http://www.insurance.ca.gov/0400-news/0100-press-releases/0070-2008/release011-08.cfm",""
"Allianz Life Insurance Company of North America","Allianz","$34,800","$0","$34,800","2006","20061220","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","Germany","","publicly traded","","financial services","insurance","https://drive.google.com/file/d/0B_UoCf17OVmWbWtwQkYtNVdqQWc/view",""
"Allianz Life Insurance Company of North America","Allianz","$13,500","$0","$13,500","2019","20190205","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","Germany","","publicly traded","","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2019/02/allianz_20190206065909.pdf",""
"Allianz Life Insurance Company of North America","Allianz","$14,000","$0","$14,000","2000","20001103","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/LH-Exams/Allianz_Life_IC_NA_34393-00-CO.pdf",""
"Fireman' Fund Insurance Co.","Allianz","$13,850","$0","$13,850","2002","20020416","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/Firemans_Fund_IC-60223-02-CO.pdf",""
