"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alsco","Alsco","$8,313","$0","$8,313","2014","20141224","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","https://www.dol.gov/ofccp/foia/files/Alsco_CA_Redacted.pdf",""
"ALSCO","Alsco","$7,500","$0","$7,500","2007","20071227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-37987-001","","","California","Banning","","92220","812320","812320: Drycleaning and Laundry Services (except Coin-Operated)","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alsco, Inc.","Alsco","$8,062","$0","$8,062","2010","20100714","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-22592-001","","","South Carolina","Greenville","","29605","812332","812332: Industrial Launderers","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alsco, Inc.","Alsco","$7,757","$0","$7,757","2016","20160616","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","https://www.dol.gov/ofccp/foia/files/AlscoCAFinal_Redacted.pdf",""
"ALSCO, INC.","Alsco","$15,800","$0","$15,800","2006","20060510","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","507 N. WILLOW AVE.","33606","812332","812332: Industrial Launderers","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Alsco","Alsco","$819,059","$0","$819,059","2016","20160229","environment-related offenses","environmental violation","","manipulation of water testing samples","state","agency action","Oregon Attorney General","civil","","","","","","Oregon","Portland","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","https://www.doj.state.or.us/media-home/news-media-releases/ag-rosenblum-settles-with-portland-company-alsco-over-environmental-crimes/",""
"Alsco Inc.","Alsco","$75,000","$0","$75,000","2020","20200908","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","https://www.dol.gov/sites/dolgov/files/OFCCP/foia/files/20200908_Alsco_ERCA_R00211119_MA_Redacted.pdf",""
"Alsco, Inc.","Alsco","$12,000","$0","$12,000","2019","20190812","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6979","","","Georgia","","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Alsco Inc.","Alsco","$9,145","$0","$9,145","2020","20200616","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Virginia Beach","","","","","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"ALSCO INC.","Alsco","$6,545","$0","$6,545","2010","20100310","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","RALEIGH","3301 HILLSBOROUGH ST.","27607","812331","812331: Linen Supply","USA","Utah","privately held","","miscellaneous services","linen and uniform rental","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
