"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Amazon.com Inc.","Amazon.com","$455,000","$0","$455,000","2013","20130103","consumer-protection-related offenses","consumer protection violation","","Amazon.com, Inc.; Leon Max, Inc.; Macy's, Inc.; and Sears, Roebuck and Co. and its Kmart subsidiaries, Kmart Corporation and Kmart.com, agreed to pay penalties totaling $1.26 million to settle Federal Trade Commission charges that they violated the Textile Products Identification Act (Textile Act) and the FTC's Textile Rules by labeling and advertising products sold in stores and online as made of bamboo, while they actually were made of rayon. ","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","https://www.ftc.gov/news-events/press-releases/2013/01/four-national-retailers-agree-pay-penalties-totaling-126-million",""
"Amazon Logistics, Inc.","Amazon.com","$169,659","$0","$169,659","2016","20160206","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1785930","","","Washington","Tumwater","","98501","492110","492110: Couriers","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Amazon.com Services LLC and Green Messengers Inc.","Amazon.com","$6,454,110","$0","$6,454,110","2021","20210308","employment-related offenses","wage and hour violation","","The Labor Commissioner's Office cited Green Messengers Inc. and Amazon.com Services LLC $6.4 million for wage theft violations affecting 718 workers. The Santa Ana-based contractor delivered packages for Amazon.com Services in Los Angeles, Orange and San Bernardino counties.","state","agency action","California Labor Commissioner's Office","civil","","","","","","California","","","","","","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","https://www.dir.ca.gov/DIRNews/2021/2021-27.html",""
"WHOLE FOODS MARKET INC.","Amazon.com","$9,000","$0","$9,000","2004","20041123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","MEDFORD","300 MIDDLESEX AVENUE","02155","311812","311812: Commercial Bakeries","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHOLE FOODS MARKET, INC.","Amazon.com","$8,200","$0","$8,200","2003","20030612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MARLTON","940 ROUTE 73 NORTH","08053","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHOLE FOODS MARKET","Amazon.com","$7,310","$0","$7,310","2001","20010614","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TORRANCE","2655 PACIFIC COAST HWY","90501","000000","","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHOLE FOODS MARKET INC","Amazon.com","$19,120","$0","$19,120","2007","20070214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","11737 SAN VICENTE BL.","90049","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHOLE FOODS MARKET","Amazon.com","$19,950","$0","$19,950","2001","20011218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","8825 VILLA LA JOLLA","92037","000000","","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHOLE FOODS MARKET INCORPORATED","Amazon.com","$6,275","$0","$6,275","2008","20080229","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","CHESHIRE","400 EAST JOHNSON AVENUE","06410","484110","484110: General Freight Trucking, Local","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Whole Foods Market, Inc.","Amazon.com","$85,000","$0","$85,000","2013","20130711","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-081254","","","Connecticut","Cheshire","","","","","USA","Washington","publicly traded","Nasdaq: AMZN","retailing","retail-internet","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
