"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AmerenUE","Ameren","$15,000,000","$0","$15,000,000","2006","20061002","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://web.archive.org/web/20150318045052/http://ferc.gov/media/news-releases/2006/2006-4/10-02-06.asp",""
"Central  Illinois Public Service Company","Ameren","$45,437","$0","$45,437","2001","20010117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","33-CA-10266-001","","","Illinois","Springfield","","62739","221121","221121: Electric Bulk Power Transmission and Control","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Illinois Power Company","Ameren","$20,000","$0","$20,000","2000","20000531","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","33-CA-12965-001","","","Illinois","Clinton","","61727","221122","221122: Electric Power Distribution","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Illinois Power","Ameren","$559,000","$0","$559,000","2002","20020725","employment-related offenses","employment discrimination","","The racial discrimination award, which was dismissed by the trial judge but reinstated by the court of appeals, included $450,000 from Illinois Power for the two plaintiffs plus $109,000 in legal fees.","federal","private litigation","","civil","","Southern District of Illinois","3:98-cv-0715","Tart v. Illinois Power","verdict","","","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://caselaw.findlaw.com/us-7th-circuit/1270053.html",""
"AMEREN UE","Ameren","$7,000","$0","$7,000","2006","20060803","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","WASHINGTON","4247 OLD HWY 100","63090","221122","221122: Electric Power Distribution","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ameren","Ameren","$179,750,000","$0","$179,750,000","2007","20071128","safety-related offenses","utility safety violation","","Ameren agreed to pay $175.750 million in settlement of its alleged actions and negligence relating to the Taum Sauk reservoir collapse that damaged a state park and other natural resources.","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","Taum Sauk","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://web.archive.org/web/20080821101020/http://ago.mo.gov/newsreleases/2007/Taum_Sauk_settlement_with_Ameren/",""
"Ameren/CIPS","Ameren","$50,000","$0","$50,000","2001","20010303","environment-related offenses","environmental violation","","Ameren/CIPS agreed to pay $50,000 in settlement of allegations CIPS exceeded environmental limits of discharges from its ash-holding ponds into the Wabash River from its Hutsonville power plant.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","Hutsonville","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://web.archive.org/web/20020912044935/http://www.ag.state.il.us/pressrelease/030701.htm",""
"AmerenUE","Ameren","$3,400,000","$0","$3,400,000","2005","20050518","environment-related offenses","environmental violation","","AmerenUE agreed to pay $1.3 million to the Conservation Commission Fund and the Natural Resources Protection Fund in settlement of allegations it killed approximatedly 43,000 fish in the Lake of the Ozarks when they were sucked into a dam' turbine generators.  Many of the fish had been stocked there by the Missouri Department of Conservation. The company also agreed to pay $2.1 million to the Missouri Division of State Parks and Historic Sites.","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","Bagnell Dam","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://web.archive.org/web/20060215033805/http://www.ago.mo.gov/newsreleases/2005/051805b.htm",""
"Illinois Power Co. and Dynergy Midwest Generation","Ameren","$24,000,000","$24,000,000","$0","2005","20050307","environment-related offenses","environmental violation","","Illinois Power Company and its successor Dynegy Midwest Generation agreed to pay $24 million -- consisting of a $9 million civil penalty and $15 million in spending on projects to mitigate harm caused by unlawful emissions -- to Illinois and the federal government in settlement of Clean Air Act violations at five Illinois power plants. The case was also reported by the U.S. Environmental Protection Agency; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-illinois-power-company","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","https://web.archive.org/web/20060527064634/http://www.ag.state.il.us/pressroom/2005_03/20050308epa.pdf",""
"AMEREN ENERGY RESOURCES GENERATING CO.","Ameren","$60,000","$0","$60,000","2016","20160915","environment-related offenses","environmental violation","","waste management violation","state","agency action","Illinois Environmental Protection Agency","civil","","","13-41","","","Illinois","","","","","","USA","Missouri","publicly traded","AEE","utilities and power generation","utilities","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
