"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AMERICAN BILTRITE INC","American Biltrite","$153,360","$0","$153,360","2019","20190404","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46046-NEA190001","","","New Jersey","","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN BILTRITE INC","American Biltrite","$44,320","$0","$44,320","2017","20170906","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46046-NEA160001","","","New Jersey","","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN BILTRITE INC","American Biltrite","$5,750","$0","$5,750","2015","20150923","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46046-NEA150001","","","New Jersey","","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN BILTRITE INC","American Biltrite","$6,000","$0","$6,000","2009","20090601","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46046-NEA090001","","","New Jersey","","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN BILTRITE INC","American Biltrite","$7,650","$0","$7,650","2008","20080409","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJR000012849-NEA070001","","","New Jersey","","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN BILTRITE, INC.","American Biltrite","$15,840","$0","$15,840","2011","20111105","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MOORESTOWN","105 WHITTENDALE DR.","08057","326130","326130: Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN BILTRITE, INC.","American Biltrite","$12,375","$0","$12,375","2011","20111129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MOORESTOWN","105 WHITTENDALE DR.","08057","326130","326130: Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN BILTRITE, INC.","American Biltrite","$75,000","$0","$75,000","2016","20160413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","LOWELL","1400 MIDDLESEX STREET","01851","325520","325520: Adhesive Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN BILTRITE INC.","American Biltrite","$10,865","$0","$10,865","2017","20170309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MOORESTOWN","105 WHITTENDALE DRIVE","08057","322222","322222: Coated and Laminated Paper Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN BILTRITE, INC.","American Biltrite","$6,200","$0","$6,200","2021","20210407","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MOORESTOWN","105 WHITTENDALE DRIVE","08057","326199","326199: All Other Plastics Product Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","pressure sensitive tapes","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
