"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American Electric Power","American Electric Power","$4,675,000,000","$0","$4,675,000,000","2007","20071009","environment-related offenses","environmental violation","","American Electric Power agreed to cut 813,000 tons of air pollutants annually at an estimated cost of more than $4.6 billion, pay a $15 million penalty, and spend $60 million on projects to mitigate the adverse effects of its past excess emissions. ","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2007/October/07_enrd_797.html",""
"American Electric Power","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power, Inc. and AEP's wholly-owned subsidiary, AEP Energy Services, Inc. (AEPES) resolved an ongoing federal investigation into the submission of knowingly inaccurate reports by AEPES concerning a commodities market. AEPES agreed to pay a criminal penalty of $30 million.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2005/January/05_crm_032.htm",""
"American Electric Power Co.","American Electric Power","$21,000,000","$0","$21,000,000","2005","20050126","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://web.archive.org/web/20150318035054/http://ferc.gov/media/news-releases/2005/2005-1/01-26-05-aep.asp",""
"American Electric Power Company Inc.","American Electric Power","$21,000,000","$0","$21,000,000","2005","20050126","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://elibrary.ferc.gov/IDMWS/common/opennat.asp?fileID=10386125",""
"American Electric Power Service Corporation","American Electric Power","$396,096","$0","$396,096","2015","20150828","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1747468","","","Ohio","Columbus","","43215","221122","221122: Electric Power Distribution","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"American Electric Power Service Corporation","American Electric Power","$96,227","$0","$96,227","2014","20141030","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1742617","","","Oklahoma","Tulsa","","74119","221122","221122: Electric Power Distribution","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"AMERICAN ELECTRIC POWER/SOUTHERN REGIONAL SERVICES ORGAN.","American Electric Power","$6,407","$0","$6,407","2001","20010523","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-37924-001","","","Ohio","Lancaster","","43130","221121","221121: Electric Bulk Power Transmission and Control","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"American Electric Power Company, Inc. and AEP Energy Services, Inc.","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power and its subsidiary AEPES agreed to pay $30 million to resolve CFTC allegations that they repeatedly and deliberately reported false natural gas trading information, including price and volume information, to certain firms that compile natural gas price indexes. The complaint further alleged that AEP and AEPES knowingly delivered false information to price index compilers in an attempt to skew those indexes for their financial benefit.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","http://www.cftc.gov/opa/enf05/opa5041-05.htm",""
"American Electric Power d/b/a Public Service Co. of Oklahoma","American Electric Power","$19,000","$0","$19,000","2008","20081124","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-23569-001","","","Oklahoma","Tulsa","","74102","221122","221122: Electric Power Distribution","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Indiana Michigan Power Company","American Electric Power","$60,000","$0","$60,000","2005","20051123","safety-related offenses","nuclear safety violation","","On November 23, 2005, a Notice of Violation and Proposed Imposition of a Civil Penalty in the amount of $60,000, was issued for a Severity Level III problem involving the licensee's failure to provide complete and accurate information, and meet reporting requirements regarding NRC-licensed operators at the D. C. Cook Nuclear Plant. Specifically, the licensee failed to: (1) provide complete and accurate information to the NRC concerning corrective actions associated with a previous Severity Level III violation (EA-04-109); (2) notify the NRC within 30 days of NRC-licensed operators experiencing a permanent disability or illness; and (3) provide complete and accurate information concerning the medical condition of individuals on new or renewal NRC reactor operator license applications.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Michigan","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://www.nrc.gov/docs/ML0532/ML053290243.pdf",""
"INDIANA MICHIGAN POWER COMPANY/AMERICAN ELECTRIC POWER COMPANY","American Electric Power","$25,000","$0","$25,000","2005","20050207","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-29332-001","","","Indiana","Fort Wayne","","46801","221111","221111: Hydroelectric Power Generation","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
