"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brothers Property Corporation","American Financial Group","$29,273","$0","$29,273","2006","20060224","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1400717","","","Ohio","Cincinnati","","45202","72111","72111: Hotels (except Casino Hotels) and Motels","USA","Ohio","publicly traded","AFG","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Great American Insurance Co.","American Financial Group","$176,000","$0","$176,000","2009","20090514","consumer-protection-related offenses","insurance violation","","Great American agreed to pay $60,000 to Analog Devices, Inc. and $116,000 to the Commonwealth in settlement of allegations it submitted a fake and intentionally uncompetitive insurance quote to Analog Devices as part of a plan to ensure American International Group won the insurance renewal. In return another insurance policy was offered to them at a pre-determined price. ","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://web.archive.org/web/20090623224002/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2009_05_14_great_american_settlement&csid=Cago",""
"Great American Financial Resources, Inc.","American Financial Group","$1,250,000","$0","$1,250,000","2019","20191025","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Southern District of Ohio","1:17-cv-0615","Fastrich et al v. Great American Financial Resources, Inc. et al.","settlement","","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.law360.com/articles/1145680/great-american-gets-nod-on-1-25m-deal-in-agent-pay-suit",""
"GREAT AMERICAN ALLIANCE INSURANCE COMPANY","American Financial Group","$5,500","$0","$5,500","2001","20010101","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.floir.com/siteDocuments/great_amer_alliance_co.pdf",""
"GREAT AMERICAN ASSURANCE COMPANY","American Financial Group","$12,500","$0","$12,500","2001","20010101","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.floir.com/siteDocuments/GREAT_AMER_ASSUR_CO.pdf",""
"Great American Insurance Co.","American Financial Group","$13,000","$0","$13,000","2017","20170505","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://insurance.ks.gov/department/LegalIssues/orders/2017/Great%20American%20Insurance%20Company.pdf",""
"National Interstate Insurance Co.","American Financial Group","$43,000","$0","$43,000","2011","20110822","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/NationalInterstateClosedExam.pdf",""
"Great American Alliance Insurance Co.","American Financial Group","$33,000","$0","$33,000","2014","20140121","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/GreatAmericanAllianceInsuranceCo.pdf",""
"Great American Insurance Company of New York","American Financial Group","$23,000","$0","$23,000","2014","20140204","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/GreatAmericanInsCo.pdf",""
"National Interstate Insurance Company","American Financial Group","$90,000","$0","$90,000","2015","20151113","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.dfs.ny.gov/system/files/documents/2019/11/da20160107.pdf",""
"Great American Insurance Company of New York","American Financial Group","$5,000","$0","$5,000","2005","20050624","consumer-protection-related offenses","insurance violation","","","state","agency action","Oregon Division of Financial Regulation","civil","","","","","","Oregon","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://dfr.oregon.gov/AdminOrders/actions_2005/insurer_2005/marketplace_2005/05-05-008.pdf",""
"Great American Alliance Insurance Company","American Financial Group","$16,000","$0","$16,000","2004","20040311","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Alliance_Ins_Co.pdf",""
"Great American Assurance Company","American Financial Group","$25,000","$0","$25,000","2004","20040311","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Assurance_Co.pdf",""
"Great American Insurance Company of New York","American Financial Group","$17,500","$0","$17,500","2004","20040311","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Insurance_Co_of_New_York.pdf",""
"Great American Insurance Company","American Financial Group","$20,000","$0","$20,000","2004","20040311","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Ins_Co.pdf",""
"Great American Spirit Insurance Company","American Financial Group","$25,000","$0","$25,000","2004","20040311","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Spirit_Ins_Co.pdf",""
"Great American Insurance Company","American Financial Group","$150,000","$0","$150,000","2005","20050524","consumer-protection-related offenses","insurance violation","","","state","agency action","Pennsylvania Insurance Department","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","AFG","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Great_American_Ins_Co_05.pdf",""
