"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American National Insurance Co.","American National Insurance","$6,500,000","$0","$6,500,000","2007","20070523","consumer-protection-related offenses","consumer protection violation","","auto credit insurance premium refunds","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","Attorney General Abbott Secures More Refunds for Auto Credit Insurance Buyers, States News Service, May 23, 2007 (via Nexis).",""
"American National Insurance Co.","American National Insurance","$8,000","$0","$8,000","2017","20170404","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/04/amer-nat-final-20170404.pdf",""
"American National Property & Casualty Co.","American National Insurance","$7,500","$0","$7,500","2005","20050210","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://www.floir.com/siteDocuments/American_Natl_PC_80160-05-CO.pdf",""
"American National Life Insurance Company of Texas","American National Insurance","$8,000","$0","$8,000","2011","20110523","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2011-05-035","","","Maryland","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"American National Property and Casualty Co.","American National Insurance","$5,000","$0","$5,000","2017","20170606","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={41E2345D-C100-4324-83DE-3C80B16F46A4}",""
"American National Insurance Company","American National Insurance","$275,000","$0","$275,000","2015","20150603","consumer-protection-related offenses","insurance violation","","","state","agency action","North Dakota Insurance Department","civil","","","","","","North Dakota","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://web.archive.org/web/20160408215948/http://www.nd.gov/ndins/uploads/39/consentorderanico.pdf",""
"Standard Life and Accident Insurance Company","American National Insurance","$5,000","$0","$5,000","2015","20151209","consumer-protection-related offenses","insurance violation","","","state","agency action","Nebraska Department of Insurance","civil","","","","","","Nebraska","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://doi.nebraska.gov/sites/doi.nebraska.gov/files/doc/actions-company/C-2175.pdf",""
"Standard Life & Accident Insurance Company","American National Insurance","$10,000","$0","$10,000","2016","20160426","consumer-protection-related offenses","insurance violation","","","state","agency action","South Dakota Division of Insurance","civil","","","","","","South Dakota","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://dlr.sd.gov/insurance/admin_actions/documents/2016/standard_life_accident_insurance_company.pdf",""
"AMERICAN NATIONAL INSURANCE CO. et al.","American National Insurance","$103,200","$0","$103,200","2002","20020327","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2002-00073","","","Virginia","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/%23z301!.PDF",""
"AMERICAN NATIONAL INSURANCE","American National Insurance","$22,000","$0","$22,000","2006","20061214","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2006-00184","","","Virginia","","","","","","USA","Texas","publicly traded","ANAT","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/1f%23_01!.PDF",""
