"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"McCoy Elkhorn Coal, LLC Bevins","American Resources Corporation","$6,395","$0","$6,395","2020","20200604","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW-19-3-0042","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"MCCOY ELKHORN COAL CORPORATION","American Resources Corporation","$75,000","$0","$75,000","2014","20140627","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -130109","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"MCCOY ELKHORN COAL CORPORATION","American Resources Corporation","$75,000","$0","$75,000","2014","20140331","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -130109","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"MCCOY ELKHORN COAL CORP.","American Resources Corporation","$7,500","$0","$7,500","2011","20111025","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33452","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"MCCOY ELKHORN COAL CORPORATION","American Resources Corporation","$8,250","$0","$8,250","2008","20080509","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -27582","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"MCCOY ELKHORN COAL CORP.","American Resources Corporation","$5,100","$0","$5,100","2000","20000614","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -24818","","","Kentucky","","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$7,000","$0","$7,000","2002","20020404","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Pikeville","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$7,000","$0","$7,000","2002","20020404","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Pikeville","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$6,000","$0","$6,000","2002","20020404","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Pikeville","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$8,000","$0","$8,000","2007","20071120","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$18,000","$0","$18,000","2007","20071116","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$5,503","$0","$5,503","2007","20071207","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$14,500","$0","$14,500","2006","20060605","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$11,600","$0","$11,600","2006","20060605","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$7,680","$0","$7,680","2004","20040616","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Pikeville","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$14,500","$0","$14,500","2006","20060605","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$27,259","$0","$27,259","2007","20071017","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$11,000","$0","$11,000","2007","20070810","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$6,500","$0","$6,500","2007","20071017","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp","American Resources Corporation","$15,570","$0","$15,570","2010","20101129","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$7,176","$0","$7,176","2008","20080129","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$15,000","$0","$15,000","2008","20080414","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"McCoy Elkhorn Coal Corp.","American Resources Corporation","$21,678","$0","$21,678","2010","20101208","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Kimper","","","","","USA","Indiana","publicly traded","AREC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
