"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$8,684","$0","$8,684","2010","20100202","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$8,331","$0","$8,331","2009","20090818","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$24,750","$0","$24,750","2018","20180221","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$51,000","$0","$51,000","2016","20160421","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$146,150","$0","$146,150","2013","20130801","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$117,000","$0","$117,000","2012","20121220","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$22,950","$0","$22,950","2008","20080212","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$12,500","$0","$12,500","2007","20071206","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$186,000","$0","$186,000","2006","20060401","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$112,500","$0","$112,500","2006","20060401","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$36,000","$0","$36,000","2006","20060401","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$27,500","$0","$27,500","2006","20060401","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$34,000","$0","$34,000","2004","20040416","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$30,000","$0","$30,000","2004","20040416","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$22,000","$0","$22,000","2004","20040416","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$20,000","$0","$20,000","2004","20040416","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"AMERICAN ZINC RECYCLING CORP","American Zinc Recycling","$17,000","$0","$17,000","2004","20040416","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$55,000","$0","$55,000","2005","20050719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","510 FRANKFORT ROAD","15061","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$65,000","$0","$65,000","2005","20050719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","510 FRANKFORT ROAD","15061","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD RESOURCE DEVELOPMENT CO INC","American Zinc Recycling","$28,500","$0","$28,500","2001","20010711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","ROCKWOOD","550 CLYMERSVILLE RD","37854","000000","","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"American Zinc Recycling","American Zinc Recycling","$8,530,000","$0","$8,530,000","2020","20200429","environment-related offenses","environmental violation","","American Zinc Recycling agreed to  invest approximately $8 million to bring its Chicago refining facility back into compliance with its emissions limits, with improved capture and collection systems for particulate matter and dust. The company also agreed to pay a $530,000 penalty.","federal","agency action","Environmental Protection Agency","civil","","","","","","Illinois","Chicago","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","https://www.epa.gov/newsreleases/epa-settlement-american-zinc-recycling-reduce-air-pollution-chicago",""
"American Zinc Recycling Corp.","American Zinc Recycling","$7,600,000","$0","$7,600,000","2021","20210209","environment-related offenses","environmental violation","","American Zinc Recycling settled a federal-state lawsuit citing violations of air, water and hazardous waste environmental laws at its facility in Palmerton, Pennsylvania, delivering environmental and public health benefits, including reduced lead dust exposure, for nearby residents.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Pennsylvania","Palmerton","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","https://www.epa.gov/enforcement/american-zing-recycling-corp-settlement",""
"Horsehead Corp.","American Zinc Recycling","$110,000","$0","$110,000","2006","20060811","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","https://www.ahs.dep.pa.gov/NewsRoomPublic/SearchResults.aspx?id=881&typeid=1",""
"American Zinc Recycling Corp., Inc.","American Zinc Recycling","$12,000","$0","$12,000","2019","20190108","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","","","","South Carolina","Barnwell","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","https://scdhec.gov/sites/default/files/media/document/FINAL%20BAI%20%20March%202019.pdf",""
"American Zinc Recycling Corp","American Zinc Recycling","$24,255","$0","$24,255","2020","20201116","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","HWM14-0024","","","Tennessee","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"American Zinc Recycling Corp","American Zinc Recycling","$6,750","$0","$6,750","2016","20161017","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC16-0086","","","Tennessee","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"American Zinc Recycling Corp","American Zinc Recycling","$7,500","$0","$7,500","2014","20141104","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC10-0065","","","Tennessee","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"American Zinc Recycling Corp","American Zinc Recycling","$13,100","$0","$13,100","2010","20100517","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC09-0213","","","Tennessee","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$6,000","$0","$6,000","2010","20100309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","300 FRANKFORT ROAD","15061","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$12,375","$0","$12,375","2010","20100309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","300 FRANKFORT ROAD","15061","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$21,000","$0","$21,000","2010","20100723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","300 FRANKFORT ROAD","15061","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$21,000","$0","$21,000","2010","20100723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","300 FRANKFORT ROAD","15061","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$7,000","$0","$7,000","2011","20110811","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MONACA","300 FRANKFORT ROAD","15061","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$7,980","$0","$7,980","2014","20140220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PALMERTON","900 DELAWARE AVENUE","18071","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$8,500","$0","$8,500","2014","20141001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PALMERTON","900 DELAWARE AVENUE","18071","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$12,000","$0","$12,000","2015","20150615","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","2701 E. 114TH ST.","60617","331410","331410: Nonferrous Metal (except Aluminum) Smelting and Refining","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$8,416","$0","$8,416","2016","20160329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PALMERTON","900 DELAWARE AVENUE","18071","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD CORPORATION","American Zinc Recycling","$9,353","$0","$9,353","2016","20160623","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PALMERTON","900 DELAWARE AVENUE","18071","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN ZINC RECYCLING CORPORATION","American Zinc Recycling","$5,000","$0","$5,000","2018","20180508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PALMERTON","900 DELAWARE AVENUE","18071","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HORSEHEAD INDUSTRIES","American Zinc Recycling","$2,845,000","$0","$2,845,000","2007","20070717","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-1991-0352","","","","","","","","","USA","Pennsylvania","privately held","","metals","zinc recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
