"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"U.S. Silver Corporation","Americas Gold and Silver","$87,000","$0","$87,000","2011","20110516","environment-related offenses","environmental violation","","U.S. Silver Corporation, owner and operator of the Coeur and Galena Mines and Mills near Wallace in Idaho's Silver Valley, has agreed to pay $87,000 in penalties to settle federal Clean Water Act discharge violations.","federal","agency action","Environmental Protection Agency","civil","","","","","","Idaho","","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f9668ede3dd4057e85257892007d8c81.html",""
"U.S. Silver-Idaho Inc.","Americas Gold and Silver","$75,000","$0","$75,000","2014","20140918","environment-related offenses","environmental violation","","U.S. Silver  Idaho, Inc., owner and operator of the Coeur and Galena Mines and Mills in Idaho's Silver Valley, has settled with the U.S. Environmental Protection Agency for alleged Clean Water Act violations at their Panhandle facility.","federal","agency action","Environmental Protection Agency","civil","","","","","","Idaho","","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/7d7c86efd9e74ed585257d5d00719064.html",""
"Drumlummon Gold Corporation","Americas Gold and Silver","$35,000","$0","$35,000","2015","20151023","safety-related offenses","mining violation","","","federal","agency action","U.S. Attorney-District of Montana","civil","","","","","","Montana","","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","https://www.justice.gov/usao-mt/pr/drumlummon-mine-and-operator-guilty-safety-violations-will-pay-36750-fines-and-community",""
"U.S. Silver Corporation","Americas Gold and Silver","$87,000","$87,000","$0","2011","20110512","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2011-0013","","","","","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. Silver - Idaho Inc","Americas Gold and Silver","$75,000","$75,000","$0","2014","20140916","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2014-0151","","","","","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. Silver - Idaho, Inc.","Americas Gold and Silver","$10,200","$0","$10,200","2010","20100503","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Wallace","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U.S. Silver - Idaho, Inc.","Americas Gold and Silver","$50,000","$0","$50,000","2010","20100901","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Wallace","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U.S. Silver - Idaho, Inc.","Americas Gold and Silver","$6,458","$0","$6,458","2009","20090430","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Wallace","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U.S. Silver - Idaho, Inc.","Americas Gold and Silver","$8,160","$0","$8,160","2010","20100503","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Wallace","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U.S. Silver - Idaho, Inc.","Americas Gold and Silver","$8,160","$0","$8,160","2010","20100503","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Wallace","","","","","Canada","","publicly traded","USAS","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
