"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ames Construction Inc","Ames Construction","$48,617","$0","$48,617","2015","20150715","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1735208","","","Colorado","Aurora","","80011","237990","237990: Other Heavy and Civil Engineering Construction","USA","Minnesota","privately held","","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"AMES CONSTRUCTION INC","Ames Construction","$15,330","$0","$15,330","2005","20051212","safety-related offenses","motor vehicle safety violation","","MN-2006-0011-US1086","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Minnesota","BURNSVILLE","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf",""
"Ames Construction Inc.","Ames Construction","$5,000","$0","$5,000","2007","20071214","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20344-001","","","Colorado","Aurora","","80011","236116","236116: New Multifamily Housing Construction (except Operative Builders)","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Ames Construction, Inc","Ames Construction","$35,543","$0","$35,543","2009","20090613","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1543600","","","Colorado","Aurora","","80011","237990","237990: Other Heavy and Civil Engineering Construction","USA","Minnesota","privately held","","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"AMES CONSTRUCTION, INC.","Ames Construction","$8,750","$0","$8,750","2002","20021118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","KREMMLING","HIGHWAY 9 AND COUNTY RD. 33","80459","237310","237310: Highway, Street, and Bridge Construction","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ames Construction, Inc. (Southern Access Ro","Ames Construction","$192,500","$0","$192,500","2005","20050930","environment-related offenses","environmental violation","","stormwater violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Contained in data received from the agency on October 6, 2020 in response to an open records request.",""
"Ames Construction, Inc. (Big Thompson Dew","Ames Construction","$33,374","$0","$33,374","2003","20031003","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Contained in data received from the agency on October 6, 2020 in response to an open records request.",""
"Ames Construction","Ames Construction","$5,000","$0","$5,000","2003","20030318","environment-related offenses","environmental violation","","Solid Waste","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20020001","","","Minnesota","Burnsville","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"Ames Construction Inc","Ames Construction","$25,000","$0","$25,000","2001","20011130","environment-related offenses","environmental violation","","Underground Tanks","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20010001","","","Minnesota","Burnsville","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"Ames Construction, Inc.","Ames Construction","$11,550","$0","$11,550","2010","20101207","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Nevada Division of Environmental Protection","civil","","","","","","Nevada","","","","","","USA","Minnesota","privately held","","construction and engineering","construction & engineering","https://sec.nv.gov/uploads/mtg_1210/final_minutes_120710.pdf","Case presented to the Nevada State Environmental Commission, which approved the penalty."
"AMES CONSTRUCTION, INC.","Ames Construction","$6,938","$0","$6,938","2010","20100304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arizona","PHOENIX","HWY 74 AND LAKE PLEASANT RD","85382","237310","237310: Highway, Street, and Bridge Construction","USA","Minnesota","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
