"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Andritz Hydro Corp.","Andritz","$9,663","$0","$9,663","2011","20110610","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1621788","","","North Carolina","Charlotte","","28262","33299","33299: All Other Fabricated Metal Product Manufacturing","Austria","","publicly traded","","industrial equipment","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"STOWE WOODWARD LLC","Andritz","$7,200","$0","$7,200","2008","20081013","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","KELSO","2209 TALLEY WY","98626","326291","326291: Rubber Product Manufacturing for Mechanical Use","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ANDRITZ INC","Andritz","$13,300","$0","$13,300","2008","20080207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MUNCY","35 SHERMAN STREET","17756","333319","333319: Other Commercial and Service Industry Machinery Manufacturing","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ANDRITZ INC","Andritz","$27,700","$0","$27,700","2008","20080103","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MUNCY","35 SHERMAN STREET","17756","333319","333319: Other Commercial and Service Industry Machinery Manufacturing","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ANDRITZ BIRD INC.","Andritz","$16,000","$0","$16,000","2006","20060921","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","SCOTT DEPOT","121 ERSKINE LANE","25560","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STOWE WOODWARD INC.","Andritz","$6,300","$0","$6,300","2005","20050804","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","RUSTON","3101 MCDONALD AVE.","71270","333291","333291: Paper Industry Machinery Manufacturing","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Stowe Woodward LLC","Andritz","$23,250","$0","$23,250","2013","20131205","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Middletown","","","","","Austria","","publicly traded","","industrial equipment","industrial equipment","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"Stowe Woodward Co","Andritz","$12,000","$0","$12,000","2005","20050112","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","Austria","","publicly traded","","industrial equipment","industrial equipment","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"Stowe Woodward Co","Andritz","$6,000","$0","$6,000","2004","20040413","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","Austria","","publicly traded","","industrial equipment","industrial equipment","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"STOWE WOODWARD LLC","Andritz","$92,000","$0","$92,000","2011","20110308","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","CONCORD","60 OLD TURNPIKE RD.","03301","326291","326291: Rubber Product Manufacturing for Mechanical Use","Austria","","publicly traded","","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
