"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Apache Corp","APA Corporation","$85,000","$0","$85,000","2008","20080429","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/site-page/2008-civil-penalties",""
"Apache Corporation","APA Corporation","$480,000","$0","$480,000","2012","20120502","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, the inspectors discovered the isolation valve for the surface controlled subsurface safety valve (SCSSV) was found to be shut / bypassed and not flagged or monitored.  Aug. 23 - Aug. 31, 2011 (2 violations) ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Apache Corporation","APA Corporation","$446,000","$0","$446,000","2007","20070830","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/site-page/2007-civil-penalties",""
"Apache Corporation","APA Corporation","$435,000","$0","$435,000","2010","20100423","environment-related offenses","environmental violation","offshore drilling violation","The level controller had been removed from the caisson sump, therefore the sump system could not automatically maintain oil at a level sufficient to prevent discharge into the Gulf of Mexico.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2010-Civil/Criminal-Penalties",""
"Apache Corporation","APA Corporation","$360,000","$0","$360,000","2014","20140904","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE onsite inspection, it was discovered that the fire and gas detection system for several portable buildings were found with the power switch in the off position rendering the system inoperable and disabling the backup battery system, leaving the building without adequate fire detection.  June 24-27, 2013 (4 violations) ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2014-revised-42115.pdf",""
"Apache Corporation","APA Corporation","$270,000","$0","$270,000","2013","20130612","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, inspectors determined that the fire loop system was bypassed and blocked out of service as they were performing a Temperature Safety Element function test over the sump pump (PBH 6120) and the high pressure test separator (MBD 1020). It was also discovered that the main fire loop header manifold system had been capped off inside of the master panel.  January 7, 2013 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/reports/cp-paid-2013.pdf",""
"Apache Corporation","APA Corporation","$255,000","$0","$255,000","2010","20100423","environment-related offenses","environmental violation","offshore drilling violation","On May 2, 2009, the Surface-Controlled Subsurface Safety Valve (SCSSV) at Well JA-001, failed due to a leakage rate greater than the allowable rate of 5 cubic feet/minute. Records indicate that no corrective action to remove, repair, reinstall, or replace was taken prior to the May 19, 2009, notification of inspection.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2010-Civil/Criminal-Penalties",""
"Apache Corporation","APA Corporation","$120,000","$0","$120,000","2016","20160428","environment-related offenses","environmental violation","offshore drilling violation","During an inspection, BSEE inspectors discovered that a crane pre-use inspection had identified several deficiencies and platform crane was not placed in restricted service or taken out of service. Crane deficiencies included: hydraulic and boom winch leaks, corrosion on the boom tip, and main hoist and aux wince cables were improperly installed.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/cp_paid_2nd_qtr_2016.pdf",""
"Apache Corporation","APA Corporation","$82,000","$0","$82,000","2005","20050302","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/site-page/2005-civil-penalties",""
"Apache Corporation","APA Corporation","$80,000","$0","$80,000","2011","20110701","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, the inspector discovered several violations throughout the facility. The violations were: 1. Sections of grating were missing on the boat landing, creating an open-hole hazard in the path of an egress route. The open hole was also discovered unprotected and not barricaded. 2. The wellhead / casing deck supports had severe corrosion, pitting, and holes thereby creating an unsafe work area. 3. The wellhead / casing head for 2 wells were severely rusted requiring immediate repair and/or replacement thereby creating a threat.  4. Casing valves grease fittings were severely rusted and corroded requiring immediate replacement.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","APA","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
