"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Boasso America Corporation","Apax Partners","$40,512","$0","$40,512","2011","20110502","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1613424","","","New Jersey","Newark","","07105","423860","423860: Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Quality Carriers","Apax Partners","$20,000","$0","$20,000","2006","20061228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32982-001","","","New Jersey","Bridgeport","","08014","484110","484110: General Freight Trucking, Local","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Quality Carriers","Apax Partners","$10,000","$0","$10,000","2003","20030710","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-18729-001","","","South Carolina","Chesnee","","29323","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Quality Carriers","Apax Partners","$5,000","$0","$5,000","2002","20020104","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Quality Carriers, Inc","Apax Partners","$46,000","$0","$46,000","2011","20110927","environment-related offenses","environmental violation","","Quality Carriers, Inc., will pay over $46,000 to settle hazardous chemical reporting violations at its facility in Kent, Washington, according to a consent agreement with the U.S. Environmental Protection Agency.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Kent","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/073fc11e1c43581e852579180077bee2.html",""
"Boasso America Inc.","Apax Partners","$500,000","$0","$500,000","2017","20170825","environment-related offenses","environmental violation","","Boasso America, Inc. entered a guilty plea for the illegal transportation and dumping of hazardous waste.","federal","agency action","U.S. Attorney-Southern District of Georgia","criminal","","","","","","","","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/usao-sdga/pr/louisiana-company-pleads-guilty-transporting-and-dumping-hazardous-waste-savannah",""
"Quality Carriers","Apax Partners","$17,000","$0","$17,000","2017","20170818","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZQCR 2016-2(HMT)","","","","","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/Elib/Document/17839",""
"Quality Carriers","Apax Partners","$5,000","$0","$5,000","2017","20170818","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZQCR 2016-3(HMT)","","","","","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/Elib/Document/17839",""
"BOASSO AMERICA CORP","Apax Partners","$26,250","$0","$26,250","2016","20160412","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD986644375-NEA150001","","","New Jersey","","","","","","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"BOASSO AMERICA INC.","Apax Partners","$6,210","$0","$6,210","2010","20100222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","NEWARK","80 DOREMUS AVE","07105","488390","488390: Other Support Activities for Water Transportation","USA","New Hampshire","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
