"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EFCO CORPORATION","Apogee Enterprises","$11,000","$0","$11,000","2010","20100211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","MONETT","1000 EAST COUNTY ROAD","65708","332321","332321: Metal Window and Door Manufacturing","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIRACON, INC","Apogee Enterprises","$15,000","$0","$15,000","2006","20060322","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","OWATONNA","300 PARK DRIVE","55060","327215","327215: Glass Product Manufacturing Made of Purchased Glass","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIRACON/CURVLITE, INC.","Apogee Enterprises","$5,145","$0","$5,145","2005","20050831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","OWATONNA","500 PARK DRIVE","55060","327215","327215: Glass Product Manufacturing Made of Purchased Glass","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HARMON INC","Apogee Enterprises","$7,200","$0","$7,200","2006","20060907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","1777 THIRD ST","48226","238150","238150: Glass and Glazing Contractors","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EFCO CORPORATION","Apogee Enterprises","$8,000","$0","$8,000","2004","20040519","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","MONETT","1000 COUNTY ROAD","65708","332321","332321: Metal Window and Door Manufacturing","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRU VUE INC","Apogee Enterprises","$8,000","$0","$8,000","2014","20140618","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2013GL700267","","","","","","","","","USA","Minnesota","publicly traded","APOG","building materials","glass products","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"HARMON INC.","Apogee Enterprises","$6,250","$0","$6,250","2010","20100326","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CLEVELAND","6780 MAYFIELD RD.","44124","238150","238150: Glass and Glazing Contractors","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EFCO","Apogee Enterprises","$10,238","$0","$10,238","2010","20100528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MARLBORO","77 VANDERBURG ROAD","07746","332321","332321: Metal Window and Door Manufacturing","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TUBELITE INC","Apogee Enterprises","$6,300","$0","$6,300","2016","20161107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","REED CITY","4878 S MACKINAW TRAIL","49677","332312","332312: Fabricated Structural Metal Manufacturing","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TUBELITE COMPANY, INC.","Apogee Enterprises","$7,538","$0","$7,538","2018","20180125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","3636 7TH AVENUE NORTH","35222","339950","339950: Sign Manufacturing","USA","Minnesota","publicly traded","APOG","building materials","glass products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
