"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ADT Security Services","Apollo Global Management","$45,820","$0","$45,820","2012","20120410","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1662597","","","Texas","Irving","","75063","561621","561621: Security Systems Services (except Locksmiths)","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ADT Security Services, Inc.","Apollo Global Management","$42,429","$0","$42,429","2009","20091112","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-51832-001","","","Michigan","Wyoming","","49509","561621","561621: Security Systems Services (except Locksmiths)","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ADT Security Services, Inc.","Apollo Global Management","$5,893","$0","$5,893","2007","20071211","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1491671","","","West Virginia","Charleston","","25312","561621","561621: Security Systems Services (except Locksmiths)","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ADT Security Services, Inc.","Apollo Global Management","$5,073","$0","$5,073","2012","20120703","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1626919","","","North Carolina","Morrisville","","27560","561621","561621: Security Systems Services (except Locksmiths)","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ADT/TYCO Security Services","Apollo Global Management","$31,000","$0","$31,000","2003","20030407","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-10233-001","","","Connecticut","Wallingford","","06492","335228","335228: Other Major Household Appliance Manufacturing","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ADT LLC d/b/a ADT Security Services","Apollo Global Management","$11,428","$0","$11,428","2016","20160412","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-141326","","","South Carolina","Columbia","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Affinion Group Holdings, Inc.","Apollo Global Management","$8,700,000","$0","$8,700,000","2015","20150701","consumer-protection-related offenses","consumer protection violation","credit card violation","The Consumer Financial Protection Bureau took action against two credit card add-on product vendors, Affinion Group Holdings, Inc., Affinion's affiliated companies, and Intersections Inc. for unfairly charging consumers for credit card add-on benefits they did not receive. Under the proposed consent orders, Affinion would pay approximately $6.8 million in monetary relief for eligible consumers who have not yet received refunds and $1.9 million in civil money penalties, while Intersections would pay approximately $55,000 in monetary relief to eligible consumers who have not yet received refunds and $1.2 million in civil money penalties.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-companies-for-unfair-billing-of-credit-card-add-on-products-and-services/",""
"America Online","Apollo Global Management","$210,000,000","$0","$210,000,000","2004","20041215","financial offenses","accounting fraud or deficiencies","","America Online, Inc. entered into an agreement with the government to defer prosecution on charges of aiding and abetting securities fraud in connection with transactions between AOL and PurchasePro.com. ","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/opa/pr/2004/December/04_crm_790.htm",""
"America Online, Inc.","Apollo Global Management","$3,500,000","$0","$3,500,000","2000","20000515","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/news/press/2000-63.txt",""
"Apollo Global Management","Apollo Global Management","$52,700,000","$0","$52,700,000","2016","20160823","financial offenses","investor protection violation","financial institution supervision failures","The Securities and Exchange Commission announced that four private equity fund advisers affiliated with Apollo Global Management agreed to a $52.7 million settlement for misleading fund investors about fees and a loan agreement and failing to supervise a senior partner who charged personal expenses to the funds.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/news/pressrelease/2016-165.html",""
"B L DEVELOPMENT CORPORATION","Apollo Global Management","$8,200","$0","$8,200","2008","20081225","safety-related offenses","motor vehicle safety violation","","MS-2008-0065-US1206","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Mississippi","ROBINSONVILLE","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf",""
"Borden Chemical","Apollo Global Management","$42,896","$0","$42,896","2001","20010501","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-08745-001","","","Oregon","Springfield","","97477","325211","325211: Plastics Material and Resin Manufacturing","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
