"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Arch Insurance Company","Arch Capital","$460,000","$0","$460,000","2010","20100706","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Maryland Attorney General","civil","","","","","","Maryland","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","http://www.marylandattorneygeneral.gov/press/2010/070610.pdf",""
"Arch Insurance Co.","Arch Capital","$5,000","$0","$5,000","2019","20190111","consumer-protection-related offenses","insurance violation","","","state","agency action","Idaho Department of Insurance","civil","","","","","","Idaho","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://doi.idaho.gov/DisplayPDF?id=2363&cat=DocketIndex",""
"Arch Insurance Co.","Arch Capital","$145,000","$0","$145,000","2016","20160616","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/ARCH.pdf",""
"Arch Insurance Co.","Arch Capital","$29,075","$0","$29,075","2013","20130516","consumer-protection-related offenses","insurance violation","","","state","agency action","Montana Commissioner of Securities & Insurance","civil","","","","","","Montana","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://csimt.gov/wp-content/uploads/INS-2013-06-COFA.pdf",""
"Arch Insurance Company","Arch Capital","$5,000,000","$0","$5,000,000","2019","20190110","consumer-protection-related offenses","insurance violation","","The Department of Financial Services fined Arch Insurance Company $1 million and National Union Fire Insurance Company $1.2 million and ordered the insurers to provide a combined $8 million in retroactive rebates for violations of New York Insurance Law following an investigation that found both insurers failed to satisfy required minimum loss ratio standards in blanket accident and health insurance policies issued to hundreds of New York volunteer firefighter districts, departments and companies. The announcement did not indicate how much each company would pay in rebates. Here we assume the total was equally divided between them.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1901101",""
"Arch Insurance Company","Arch Capital","$14,000","$0","$14,000","2010","20101022","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","Division of Workers' Compensation Announces October Enforcement Actions, Targeted News Service, November 10, 2010 (via Nexis).",""
"Arch Insurance Company","Arch Capital","$26,500","$0","$26,500","2012","20120716","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2012.asp?page=2",""
"Arch Insurance Company","Arch Capital","$40,143","$0","$40,143","2014","20140515","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=3",""
"Arch Insurance Company","Arch Capital","$10,000","$0","$10,000","2014","20141118","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp",""
"Arch Insurance Company","Arch Capital","$19,000","$0","$19,000","2015","20150702","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=2",""
"Arch Insurance Company","Arch Capital","$32,500","$0","$32,500","2016","20161021","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp",""
"Arch Insurance Company","Arch Capital","$5,000","$0","$5,000","2017","20170718","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2017.asp",""
"Arch Insurance Company","Arch Capital","$7,000","$0","$7,000","2018","20180601","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp",""
"Arch Indemnity Insurance Company","Arch Capital","$10,250","$0","$10,250","2019","20191122","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://www.tdi.texas.gov/wc/orders/documents/dwc206157.pdf",""
"Arch Insurance Company","Arch Capital","$26,447","$0","$26,447","2019","20191217","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","http://www.scc.virginia.gov/docketsearch/DOCS/4kc001!.PDF",""
"Arch Insurance Company","Arch Capital","$20,000","$0","$20,000","2011","20110906","consumer-protection-related offenses","insurance violation","","Fine levied for issuing a policy form to Washington residents that was not filed with and approved by the Commissioner; failing to deliver a policy to Washington residents within a reasonable period of time after its issued. RCW 48.18.100; RCW 48.18.260; RCW 48.05.185; WAC 284-30-580","state","agency action","Washington State Office of the Insurance Commissioner","civil","","","","","","Washington","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://fortress.wa.gov/oic/consumertoolkit/search.aspx?searchtype=ord",""
"Arch Insurance Company","Arch Capital","$1,017,000","$0","$1,017,000","2017","20171218","consumer-protection-related offenses","insurance violation","","Arch Insurance agreed to make a $1.017 million administrative payment to a group of states as part of the resolution of issues raised during an examination of its market conduct relating to travel insurance.","state","agency action","Multistate Financial  Regulators Case","civil","","","","","","","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://dlr.sd.gov/insurance/market_conduct_multi_state_examinations/documents/arch_insurance_company.pdf",""
"Arch Insurance Co.","Arch Capital","$10,000","$0","$10,000","2020","20200817","consumer-protection-related offenses","insurance violation","","$10,000 fine levied for using incorrect rating factors on 62 policies; the Company violated RCW 48.19.040(6) and failing to include required forms in 60 policies.","state","agency action","Washington State Office of the Insurance Commissioner","civil","","","","","","Washington","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://fortress.wa.gov/oic/consumertoolkit/Orders/OrderProfile.aspx?OrderNumber=C2%252BiKcL%252BnsMFdO0%2fSDI7%252Bg%253D%253D",""
"Arch Insurance Co.","Arch Capital","$6,000","$0","$6,000","2021","20210518","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://www.tdi.texas.gov/wc/orders/documents/dwc216832.pdf",""
"Arch Insurance Co.","Arch Capital","$69,000","$0","$69,000","2021","20210205","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Bermuda","","publicly traded","ACGL","financial services","insurance","https://www.tdi.texas.gov/wc/orders/documents/dwc216677.pdf",""
