"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Arch Coal Inc.","Arch Resources","$4,000,000","$0","$4,000,000","2011","20110301","environment-related offenses","environmental violation","","Arch Coal Inc., the second largest supplier of coal in the United States, agreed to pay a $4 million penalty to settle alleged violations of the Clean Water Act in Virginia, West Virginia and Kentucky. Under the settlement, Arch Coal was required to implement changes to its mining operations in Virginia, West Virginia and Kentucky to ensure compliance with the Clean Water Act.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","http://www.justice.gov/opa/pr/arch-coal-pay-4-million-settle-clean-water-act-violations-appalachian-mining-operations",""
"Arch Coal and International Coal Group","Arch Resources","$2,000,000","$0","$2,000,000","2015","20150806","environment-related offenses","environmental violation","","The Department of Justice and Environmental Protection Agency announced that Arch Coal Inc., one of the nation's largest coal companies, and 14 of its subsidiaries under the International Coal Group Inc. (ICG) agreed to conduct comprehensive upgrades to their operations to ensure compliance with the Clean Water Act. The settlement resolved hundreds of alleged Clean Water Act violations related to illegal discharges of pollutants at the companies' coal mines in Kentucky, Pennsylvania, Maryland, Virginia and West Virginia. The states of West Virginia, Virginia and Pennsylvania were co-plaintiffs in the settlement under which the companies were also required to pay a $2 million civil penalty.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","http://www.justice.gov/opa/pr/arch-coal-subsidaries-make-system-wide-upgrades-reduce-pollution-entering-us-waters",""
"MINGO LOGAN COAL CO., AND MAHON ENTERPRISES, INC., JOINT EMPLOYERS","Arch Resources","$1,051,117","$0","$1,051,117","2006","20060131","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-31797-001","","","West Virginia","Wharncliffe","","25651","212112","212112: Bituminous Coal Underground Mining","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ARCH COAL","Arch Resources","$30,000","$0","$30,000","2011","20110215","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010SO700089","","","","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Arch Coal Inc.","Arch Resources","$2,000,000","$2,000,000","$0","2011","20110301","environment-related offenses","environmental violation","","Arch Coal agreed to pay $2 million to West Virginia and Kentucky to resolve Clean Water Act violations. This was part of a larger $4 million settlement involving the federal government; see the Violation Tracker entry at https://www.justice.gov/opa/pr/arch-coal-pay-4-million-settle-clean-water-act-violations-appalachian-mining-operations","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","https://www.justice.gov/opa/pr/arch-coal-pay-4-million-settle-clean-water-act-violations-appalachian-mining-operations",""
"ICG EAST KENTUCKY LLC","Arch Resources","$5,500","$0","$5,500","2016","20160920","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -41367","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"ICG KNOTT COUNTY LLC","Arch Resources","$10,000","$0","$10,000","2014","20140815","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -130122","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"ARCH COAL INC","Arch Resources","$164,500","$0","$164,500","2013","20131114","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33828","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"ICG EAST KENTUCKY LLC","Arch Resources","$8,000","$0","$8,000","2009","20090612","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -080081","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"ICG KNOTT COUNTY, LLC","Arch Resources","$8,000","$0","$8,000","2006","20060810","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -050251","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"CUMBERLAND RIVER COAL COMPANY","Arch Resources","$22,500","$0","$22,500","2005","20050708","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -050019","","","Kentucky","","","","","","USA","Missouri","publicly traded","ARCH","mining and minerals","mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
