"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AMERICAN MIDSTREAM (ALATENN) LLC","ArcLight Capital Partners","$17,000","$0","$17,000","2004","20041207","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_219971007.html?nocache=2111",""
"AMERICAN MIDSTREAM (MIDLA) LLC","ArcLight Capital Partners","$70,000","$0","$70,000","2007","20070822","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420058004.html?nocache=8717",""
"AMERICAN MIDSTREAM (MIDLA) LLC","ArcLight Capital Partners","$70,000","$0","$70,000","2005","20051014","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420031010.html?nocache=6127",""
"HOVENSA LLC","ArcLight Capital Partners","$705,375,000","$0","$705,375,000","2011","20110126","environment-related offenses","environmental violation","","HOVENSA LLC agreed to pay a $5.375 million civil penalty and spend more than $700 million in new pollution controls to resolve Clean Air Act violations at its St. Croix, U.S. Virgin Islands, refinery.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Virgin Islands of the U.S.","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.justice.gov/opa/pr/nation-s-second-largest-refinery-pay-700-million-upgrade-pollution-controls-us-virgin-islands",""
"TransMontaigne Product Services Inc.","ArcLight Capital Partners","$9,625","$0","$9,625","2012","20120516","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"GULF OIL LIMITED PARTNERSHIP","ArcLight Capital Partners","$14,430","$0","$14,430","2007","20071012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PITTSBURGH","400 GRAND AVENUE","15225","424710","424710: Petroleum Bulk Stations and Terminals","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HOVENSA LLC","ArcLight Capital Partners","$10,000","$0","$10,000","2009","20090605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virgin Islands of the U.S.","ST CROIX","HOVENSA REFINERY,1 ESTATE HOPE","00820","324110","324110: Petroleum Refineries","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HOVENSA LLC","ArcLight Capital Partners","$150,000","$0","$150,000","2009","20090526","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virgin Islands of the U.S.","ST CROIX","1 ESTATE HOPE, CHRISTIANSTED","00820","324110","324110: Petroleum Refineries","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HOVENSA L.L.C","ArcLight Capital Partners","$5,000","$0","$5,000","2001","20010530","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virgin Islands of the U.S.","ST. CROIX","1 ESTATE HOPE, CHRISTIANSTED","00820","324110","324110: Petroleum Refineries","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TransMontaigne Product Services, Inc.","ArcLight Capital Partners","$31,000","$0","$31,000","2017","20170921","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZTMT 2015-2(HMT)","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/Elib/Document/17839",""
"TransMontaigne Product Services, Inc.","ArcLight Capital Partners","$7,000","$0","$7,000","2018","20180109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZTMT 2015-1(HMT)","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"TransMontaigne Product Services, Inc.","ArcLight Capital Partners","$11,000","$0","$11,000","2018","20180109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZTMT 2017-1(HMT)","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"Transmontaigne Pipeline, Inc.","ArcLight Capital Partners","$71,000","$0","$71,000","2004","20040219","environment-related offenses","environmental violation","","Transmontaigne Pipeline, Inc. agree to pay $71,000 in settlement of alleged environmental violations caused by a diesel fuel leak.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","Streator","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20041019132527/http://www.ag.state.il.us/pressroom/2004_02/20040219.html",""
"Gulf Oil Limited Partnership","ArcLight Capital Partners","$2,400,000","$0","$2,400,000","2020","20200911","environment-related offenses","environmental violation","","Clean Air Act violations.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.epa.gov/enforcement/gulf-oil-limited-partnership-clean-air-act-settlement",""
"Gulf Oil, LP","ArcLight Capital Partners","$64,500","$0","$64,500","2019","20191231","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","New Haven","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.ct.gov/deep/lib/deep/enforcement/consentorder/COWSMT19003.pdf","Captured from summaries produced by DEP; may not include full details of penalties."
"Gulf Oil, LP","ArcLight Capital Partners","$15,188","$0","$15,188","2019","20190325","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","New Haven","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.ct.gov/deep/lib/deep/enforcement/consentorder/COAR2465.pdf","Captured from summaries produced by DEP; may not include full details of penalties."
"Gulf Oil, LP","ArcLight Capital Partners","$7,000","$0","$7,000","2015","20150325","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","New Haven","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.ct.gov/deep/lib/deep/enforcement/consentorder/LIS20153692V.pdf","Captured from summaries produced by DEP; may not include full details of penalties."
"TransMontaigne Operating Co LP","ArcLight Capital Partners","$7,251","$0","$7,251","2014","20140421","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","AEP1201097","","","Louisiana","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://deq.louisiana.gov/page/enforcement-actions",""
"Gulf Oil Limited Partnership","ArcLight Capital Partners","$29,500","$0","$29,500","2014","20140317","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Maine Department of Environmental Protection","civil","","","","","","Maine","South Portland","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 9, 2020 in response to an open records request.",""
"GULF OIL LP, WOODBURY TERMINAL","ArcLight Capital Partners","$7,500","$0","$7,500","2014","20141229","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD991291600-NEA140002","","","New Jersey","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GULF OIL LTD PARTNERSHIP WOODBURY TERMINAL","ArcLight Capital Partners","$7,000","$0","$7,000","2012","20120607","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","55824-NEA120002","","","New Jersey","","","","","","USA","Massachusetts","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
