"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CHERRY DEMOLITION","Arcosa Inc.","$18,000","$0","$18,000","2009","20090626","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","7880 AIRPORT RD","77061","238910","238910: Site Preparation Contractors","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Arcosa LW BR, LLC","Arcosa Inc.","$15,000","$0","$15,000","2019","20190410","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","19-055-CAP","","","Alabama","","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","http://adem.alabama.gov/compInfo/2019orders.pdf",""
"Arcosa LWB LLC","Arcosa Inc.","$35,175","$0","$35,175","2020","20200403","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Arcosa LWB LLC","Arcosa Inc.","$22,125","$0","$22,125","2007","20070423","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","Boulder","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"Trinity Containers LLC","Arcosa Inc.","$12,173,000","$0","$12,173,000","2020","20201221","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","IA-2016-0604-US1443","","","Texas","Dallas","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","https://ai.fmcsa.dot.gov/SafetyProgram/spRptEnforcement.aspx?rpt=CLOSE",""
"ARCOSA LW HPB LLC","Arcosa Inc.","$15,000","$0","$15,000","2007","20071130","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Mooresville","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","http://www.in.gov/idem/oe/cause/AO/17064-A.htm",""
"Arcosa Marine Products, Inc. [Plant No. 296]","Arcosa Inc.","$5,245","$0","$5,245","2009","20090112","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC08-0241","","","Tennessee","","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Arcosa Lws, LLC","Arcosa Inc.","$45,960","$0","$45,960","2019","20191118","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Arcosa LWB, LLC","Arcosa Inc.","$11,550","$0","$11,550","2021","20210101","environment-related offenses","environmental violation","","","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Arcosa LW BR, LLC","Arcosa Inc.","$6,500","$0","$6,500","2021","20211006","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Erwinville","","","","","USA","Texas","publicly traded","ACA","miscellaneous manufacturing","infrastructure-related products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2021/Arcosa0035.pdf",""
