"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ardagh Glass Inc.","Ardagh Packaging Group","$225,140","$0","$225,140","2015","20150819","environment-related offenses","environmental violation","","Wastewater discharged by a glass manufacturing company in Milford, Mass. into wetlands adjacent to the Charles River will be cleaner as a result of a recent settlement between the manufacturer and the US Environmental Protection Agency. Ardagh Glass Inc. agreed to pay a $103,440 penalty and to fund three environmental projects costing a total of about $121,700 to settle claims it was discharging wastewater in violation of its permits.","federal","agency action","Environmental Protection Agency","civil","","","","","","Massachusetts","Milford","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","https://archive.epa.gov/epa/newsreleases/settlement-requires-milford-mass-glass-manufacturer-improve-stormwater-treatment.html",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$54,029","$0","$54,029","2017","20170518","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$49,684","$0","$49,684","2017","20170518","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$6,394","$0","$6,394","2013","20131008","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$100,128","$0","$100,128","2009","20090113","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"IMPRESS USA","Ardagh Packaging Group","$20,400","$0","$20,400","2002","20020724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TERMINAL ISLAND","936 BARRACUDA ST","90731","000000","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ardagh Glass, Inc.","Ardagh Packaging Group","$3,500,000","$0","$3,500,000","2016","20160804","environment-related offenses","environmental violation","","Ardagh Glass agreed to pay $3,500,000 civil penalties as part of a consent judgment settling allegations of multiple violations of state Hazardous Waste Control Law at its glass bottle manufacturing facility.","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Madera","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","https://www.envirostor.dtsc.ca.gov/public/eerppublicdocs/9891987442/Ardagh%5FCEI2010%5FFinalJudment080416%2Epdf",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$6,200","$0","$6,200","2004","20040623","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Winchester","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","http://www.in.gov/idem/oe/cause/AO/11648-A.htm",""
"Ardagh Glass Inc.","Ardagh Packaging Group","$6,449","$0","$6,449","2020","20201022","environment-related offenses","environmental violation","","air quality violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","https://files.nc.gov/ncdeq/Air%20Quality/compliance/penalty/oct_enf.pdf",""
"ARDAGH GLASS  INC","Ardagh Packaging Group","$56,500","$0","$56,500","2008","20080903","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","75506-NEA080001","","","New Jersey","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"ARDAGH GLASS  INC","Ardagh Packaging Group","$12,900","$0","$12,900","2006","20060228","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","75506-NEA050002","","","New Jersey","","","","","","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"ARDAGH GLASS, INC.","Ardagh Packaging Group","$60,000","$0","$60,000","2013","20130226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","WARNER ROBINS","1044 BOOTH ROAD","31088","327212","327212: Other Pressed and Blown Glass and Glassware Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS, INC.","Ardagh Packaging Group","$14,000","$0","$14,000","2013","20130327","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","HENRYETTA","601 E. BOLLINGER ROAD","74437","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS INC.","Ardagh Packaging Group","$5,000","$0","$5,000","2016","20160831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","DOLTON","13850 COTTAGE GROVE AVE","60419","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS INC.","Ardagh Packaging Group","$7,061","$0","$7,061","2017","20170328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","BRIDGETON","443 SOUTH EAST AVENUE","08302","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS INC.","Ardagh Packaging Group","$8,149","$0","$8,149","2017","20170815","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","PEVELY","1500 ARDAGH GROUP DRIVE","63070","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS, INC.","Ardagh Packaging Group","$7,000","$0","$7,000","2018","20181106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","BURLINGTON","815 S. MCHENRY STREET","53105","238150","238150: Glass and Glazing Contractors","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH METAL BEVERAGE USA INC","Ardagh Packaging Group","$5,363","$0","$5,363","2019","20190401","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","WINSTON SALEM","4000 OLD MILWAUKEE LANE","27107","332431","332431: Metal Can Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS INC.","Ardagh Packaging Group","$13,494","$0","$13,494","2020","20200806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","BRIDGETON","443 SOUTH EAST AVENUE","08302","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARDAGH GLASS INC","Ardagh Packaging Group","$225,140","$225,140","$0","2015","20150807","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","01-2015-2008","","","Massachusetts","MILFORD","1 NATIONAL STREET","01757","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Ardagh Glass Inc.","Ardagh Packaging Group","$21,402","$0","$21,402","2012","20120926","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2012-0128","","","Indiana","WINCHESTER","603 EAST NORTH ST","47395","327213","327213: Glass Container Manufacturing","Luxembourg","","publicly traded","NYSE: ARD","paper and packaging","packaging","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
