"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"99 Cent Only Stores","Ares Management","$5,855","$0","$5,855","2006","20060110","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20140-001","","","California","Commerce","","90023","452990","452990: All Other General Merchandise Stores","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Insight Global, Inc.","Ares Management","$5,229","$0","$5,229","2005","20051125","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1425201","","","Georgia","Atlanta","","30319","561310","561310: Employment Placement Agencies","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Insight Global, LLC","Ares Management","$23,503","$0","$23,503","2015","20150926","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1760440","","","Georgia","Atlanta","","30319","541214","541214: Payroll Services","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Neiman Marcus Group Inc","Ares Management","$50,000","$0","$50,000","2008","20080422","safety-related offenses","product safety violation","","Eight firms agreed to pay a total of $320,000 to settle allegations that they failed to report to the CPSC, as required by federal law, that their children's hooded sweatshirts or jackets were sold with drawstrings at the hood and neck and thus posed a strangulation hazard.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.cpsc.gov/Newsroom/News-Releases/2008/Eight-Firms-Agree-To-Pay-320000-For-Failing-To-Timely-Report-Drawstrings-In-Childrens-Outerwear",""
"SMG","Ares Management","$63,860","$0","$63,860","2010","20100918","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1516581","","","Colorado","Denver","","80202","561790","561790: Other Services to Buildings and Dwellings","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SMG","Ares Management","$54,155","$0","$54,155","2015","20150427","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-023360","","","Texas","El Paso","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"SMG","Ares Management","$5,280","$0","$5,280","2009","20090909","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1552152","","","New Mexico","Albuquerque","","87102","551114","551114: Corporate, Subsidiary, and Regional Managing Offices","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SMG Corporation","Ares Management","$10,098","$0","$10,098","2013","20130223","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1683519","","","New Mexico","Albuquerque","","87102","531312","531312: Nonresidential Property Managers","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SMG","Ares Management","$5,000","$0","$5,000","2010","20101026","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","JACKSON","105 EAST PASCAGOULA STREET","39207","561790","561790: Other Services to Buildings and Dwellings","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORE","Ares Management","$5,000","$0","$5,000","2011","20110209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","RIVERSIDE","3477 ARLINGTON AVE","92506","452990","452990: All Other General Merchandise Stores","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORE","Ares Management","$20,195","$0","$20,195","2011","20110111","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COSTA MESA","2180 HARBOR BLVD","92627","452990","452990: All Other General Merchandise Stores","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORES","Ares Management","$5,025","$0","$5,025","2010","20100930","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OAKLAND","1440 7TH STREET","94607","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GUITAR CENTER STORES INC","Ares Management","$11,315","$0","$11,315","2008","20080612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN MARCOS","712 CENTER DR","92069","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE NEIMAN MARCUS GROUP, INC.","Ares Management","$86,500","$0","$86,500","2004","20040414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","AUSTIN","4115 SOUTH CAPITAL OF TEXAS HWY","78704","448190","448190: Other Clothing Stores","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SMG","Ares Management","$8,625","$0","$8,625","2002","20020912","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LONG BEACH","300 E OCEAN BLVD","90802","000000","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORES","Ares Management","$16,810","$0","$16,810","2003","20030725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COMMERCE","4000 E UNION PACIFIC AVE","90023","452910","452910: Warehouse Clubs and Supercenters","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORES","Ares Management","$10,120","$0","$10,120","2003","20030501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COMMERCE","4000 E UNION PACIFIC AVE","90023","493110","493110: General Warehousing and Storage","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"99 CENTS ONLY STORES","Ares Management","$6,150","$0","$6,150","2001","20010711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COMMERCE","4000 E UNION PACIFIC AVE","90023","000000","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Insight Global LLC","Ares Management","$354,978","$0","$354,978","2018","20180329","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.dol.gov/newsroom/releases/whd/whd20180329",""
"99 Cents Only","Ares Management","$175,000","$0","$175,000","2017","20170829","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC615559","PHILIP CLAVEL VS 99 CENTS ONLY STORES LLC","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1011290/000110465917072525/a17-20565_110q.htm","The settlement figure is the amount the company said in an SEC filing that it contributed to a total settlement amount of $500,000 involving other defendants."
"99 Cents Only","Ares Management","$3,200,000","$0","$3,200,000","2012","20121011","employment-related offenses","wage and hour violation","","off-the-clock work","state","private litigation","","civil","","Superior Court of State of California, County of Sacramento","2010-00079619-CV","Luis Palencia v. 99 Cents Only Stores","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1011290/000110465913009751/a13-1930_110q.htm","While the court document lists a settlement amount of $3.2 million, the company's SEC filing said it had accrued $2.2 million for payments related to the case."
"99 Cents Only","Ares Management","$700,000","$0","$700,000","2012","20120716","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC436793","SHERIDAN REED VS 99 CENTS ONLY STORES","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1011290/000110465913009724/a13-4405_110qa.htm#Item1_LegalProceedings_123740","The company agreed to pay $700,000 less a credit of $155,431 that had already been paid. In an SEC filing the company said $600,000 had been accrued for expected payments in the case."
"99 Cents Only","Ares Management","$3,200,000","$0","$3,200,000","2007","20071101","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Ventura","","Vargas vs. 99 Cents Only Stores","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1011290/000114036108024588/form10q.htm#legal","This case was settled together with the Los Angeles County case Washington vs. 99 Cents Only Stores."
"Guitar Center","Ares Management","$2,900,000","$0","$2,900,000","2006","20060714","employment-related offenses","wage and hour violation","","meal/rest break violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC322958","CARLOS RODRIGUEZ VS THE GUITAR CENTER","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1021113/000110465906073652/a06-21563_110q.htm#NotesToConsolidatedFinancialState_022305","The settlement also covered another case in the same court: James McClain et. al. v. Guitar Center Stores, Inc. (Case No. BC326002)."
"99 Cents Only","Ares Management","$4,900,000","$0","$4,900,000","2004","20041229","employment-related offenses","wage and hour violation","","misclassification","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC295342","Melgoza vs. 99 Cents Only Stores and Ramirez vs. 99 Cents Only Stores","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/Archives/edgar/data/1011290/000114036105007262/body.htm","These cases were settled jointly."
"99 Cents Only Stores LLC","Ares Management","$273,254","$0","$273,254","2018","20180508","employment-related offenses","wage and hour violation","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Arizona","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.dol.gov/newsroom/releases/whd/whd20180508-1",""
"Neiman Marcus Group, Inc.","Ares Management","$4,400,000","$0","$4,400,000","2019","20190225","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Central District of California","8:16-cv-0504","Holly Attia et al v. The Neiman Marcus Group, Inc., et al","settlement","","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/1123438/ex-neiman-marcus-workers-seek-4-4m-wage-row-deal-ok",""
"Neiman Marcus Group LLC","Ares Management","$1,500,000","$0","$1,500,000","2019","20190108","consumer-protection-related offenses","privacy violation","","Neiman Marcus agreed to pay $1.5 million to settle multistate litigiation arising from a 2013 data breach involving 370,000 payment cards.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://law.georgia.gov/press-releases/2019-01-08/carr-and-others-reach-settlement-neiman-marcus-over-2013-data-breach",""
"SMG","Ares Management","$545,000","$0","$545,000","2002","20021218","employment-related offenses","wage and hour violation","","SMG, manager of concession and catering services at the Worcester Centrum Centre agreed to pay more than $545,000 to settle charges that it failed to pay gratuities earned by food service workers.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Worcester","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20030301152211/http://www.ago.state.ma.us/press_rel/smgsettle.asp",""
"99 Cents Only Stores","Ares Management","$2,362,500","$0","$2,362,500","2015","20150106","environment-related offenses","environmental violation","","99 Cents Only Stores agreed to pay $2.36 million in settlement of allegations it improperly disposed of hazardous material in company trash bins, resulting it it being unlawfully transported to area landfills. Settlement was with 28 California agencies.","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","USA","California","publicly traded","ARES","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sandiego.gov/sites/default/files/nr150106.pdf",""
