"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Argenbright Security, Inc.","Argenbright Holdings","$18,000","$0","$18,000","2002","20021127","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-17538-001","","","New York","JAMAICA","","11430","561990","561990: All Other Support Services","USA","Georgia","privately held","","business services","security services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Argenbright Security, Inc.","Argenbright Holdings","$16,000","$0","$16,000","2003","20031006","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-34251-001","","","Georgia","College Park","","30337","485999","485999: All Other Transit and Ground Passenger Transportation","USA","Georgia","privately held","","business services","security services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Argenbright Security, Inc.","Argenbright Holdings","$12,000","$0","$12,000","2003","20030716","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-29933-001","","","Virginia","Chantilly","","20151","561612","561612: Security Guards and Patrol Services","USA","Georgia","privately held","","business services","security services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Argenbright Security Agency","Argenbright Holdings","$10,000","$0","$10,000","2003","20031202","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-25331-001","","","California","Los Angeles","","90045","561990","561990: All Other Support Services","USA","Georgia","privately held","","business services","security services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DAL Global Services LLC","Argenbright Holdings","$100,000","$0","$100,000","2009","20091112","employment-related offenses","employment discrimination","","DAL Global Services LLC agreed to settle findings of hiring discrimination against 110 rejected Asian, black, white and female job applicants. The agreement resolved allegations that it discriminated against applicants for the position of ramp agent at Denver International Airport.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Colorado","Denver","","","","","USA","Georgia","privately held","","business services","security services","https://web.archive.org/web/20170523231820/https://www.dol.gov/opa/media/press/ofccp/ofccp20091355.htm",""
"SecurAmerica, LLC","Argenbright Holdings","$14,159","$0","$14,159","2017","20170322","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1810332","","","Georgia","Atlanta","3399 Peachtree Road, NE","30326","","","USA","Georgia","privately held","","business services","security services","July 23, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DAL Global Services, LLC","Argenbright Holdings","$2,500,000","$0","$2,500,000","2018","20181213","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Central District of California","2:17-cv-6433","Mark Brulee v. DAL Global Services, LLC et al","settlement","","","","","","","USA","Georgia","privately held","","business services","security services","https://www.law360.com/articles/1049091/delta-unit-inks-2-5m-deal-to-settle-wage-ot-claims",""
"DAL GLOBAL SERVICES","Argenbright Holdings","$18,930","$0","$18,930","2011","20111228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","3835 N HARBOR DR STE 107","92101","488119","488119: Other Airport Operations","USA","Georgia","privately held","","business services","security services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAL GLOBAL SERVICES INC","Argenbright Holdings","$33,000","$0","$33,000","2012","20121210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","SEATTLE","16215 AIR CARGO ROAD  ST 211 SEATAC INTL AIRPORT","98158","488119","488119: Other Airport Operations","USA","Georgia","privately held","","business services","security services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAL GLOBAL SERVICES LLC","Argenbright Holdings","$7,000","$0","$7,000","2015","20151006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","600 TERMINAL DR.","40209","488119","488119: Other Airport Operations","USA","Georgia","privately held","","business services","security services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
