"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Argos USA LLC","Argos","$1,505,309","$0","$1,505,309","2019","20190418","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that Argos USA LLC and Lehigh Cement Company settled alleged Clean Air Act violations at a portland cement manufacturing facility in Martinsburg, West Virginia.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","West Virginia","","","","","","Colombia","","publicly traded","","building materials","building materials","https://www.epa.gov/newsreleases/owners-portland-cement-plant-martinsburg-west-virginia-pay-more-15-million-penalty-air",""
"ARGOS USA, LLC","Argos","$10,001","$0","$10,001","2020","20200921","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Georgia","","","","","","Colombia","","publicly traded","","building materials","building materials","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Argos USA LLC","Argos","$20,000,000","$0","$20,000,000","2021","20210104","competition-related offenses","price-fixing or anti-competitive practices","","","federal","agency action","Justice Department Antitrust Division","criminal","deferred prosecution agreement","","","","","","","","","","","Colombia","","publicly traded","","building materials","building materials","https://www.justice.gov/opa/pr/ready-mix-concrete-company-admits-fixing-prices-and-rigging-bids-violation-antitrust-laws",""
"Argos Ready Mix","Argos","$5,940","$0","$5,940","2019","20190712","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WP-8699","","","Georgia","","","","","","Colombia","","publicly traded","","building materials","building materials","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"ESSROC CEMENT","Argos","$340,000","$0","$340,000","2009","20090505","environment-related offenses","environmental violation","","air quality violation","state","agency action","Maryland Department of the Environment","civil","","","","","","Maryland","","","","","","Colombia","","publicly traded","","building materials","building materials","Contained in data received from the agency on November 16, 2020 in response to an open records request.",""
"ESSROC CEMENT","Argos","$100,000","$0","$100,000","2008","20080516","environment-related offenses","environmental violation","","air quality violation","state","agency action","Maryland Department of the Environment","civil","","","","","","Maryland","","","","","","Colombia","","publicly traded","","building materials","building materials","Contained in data received from the agency on November 16, 2020 in response to an open records request.",""
"ARGOS USA LLC","Argos","$323,500","$0","$323,500","2019","20190917","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","Colombia","","publicly traded","","building materials","building materials","https://documents.dep.wv.gov/AppXtender",""
"Essroc Cement Corporation","Argos","$38,400","$0","$38,400","2016","20160412","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","Colombia","","publicly traded","","building materials","building materials","https://documents.dep.wv.gov/AppXtender",""
"ARGOS USA LLC","Argos","$6,652","$0","$6,652","2018","20181023","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","DALLAS","2935 W COMMERCE STREET","75212","327320","327320: Ready-Mix Concrete Manufacturing","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARGOS USA LLC","Argos","$26,000","$0","$26,000","2019","20190411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DORAVILLE","2395 WEAVER WAY","30340","327320","327320: Ready-Mix Concrete Manufacturing","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARGOS USA LLC","Argos","$40,000","$0","$40,000","2019","20190411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DORAVILLE","2395 WEAVER WAY","30340","327320","327320: Ready-Mix Concrete Manufacturing","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ARGOS USA, LLC","Argos","$9,119","$0","$9,119","2020","20200912","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","ATLANTA","1004 LIBERTY PARKWAY","30318","327320","327320: Ready-Mix Concrete Manufacturing","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESSROC San Juan, Inc.","Argos","$995,924","$0","$995,924","2010","20100504","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2004-0026","","","","","","","","","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"ESSROC CEMENT CORP","Argos","$7,500","$0","$7,500","2001","20010913","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2001-0180","","","","","","","","","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Essroc Cement Corporation","Argos","$78,130","$0","$78,130","2006","20060929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2006-0299","","","","","","","","","Colombia","","publicly traded","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
