"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ascension Health","Ascension Health","$14,900,000","$0","$14,900,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Ascension Health AFC","Ascension Health","$22,178","$0","$22,178","2013","20131212","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1708933","","","Michigan","Grand Rapids","","49508","623990","623990: Other Residential Care Facilities","USA","Missouri","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Ascension Health II","Ascension Health","$16,762","$0","$16,762","2013","20131212","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1708935","","","Michigan","Grand Rapids","","49508","623990","623990: Other Residential Care Facilities","USA","Missouri","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Genesys Health System","Ascension Health","$669,413","$0","$669,413","2009","20091228","government-contracting-related offenses","False Claims Act and related","","Genesys Health System agreed to pay the United States $669,413 to settle a lawsuit alleging that the health care provider violated the False Claims Act by submitting false claims to Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/michigan-health-care-provider-pay-united-states-669413-settle-false-claims-allegations",""
"Genesys Health System","Ascension Health","$17,772","$0","$17,772","2010","20100313","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1599111","","","Michigan","Grand Blanc","","48439","62111","62111: Offices of Physicians","USA","Missouri","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Genesys Regional Medical Center","Ascension Health","$648,000","$0","$648,000","2009","20090126","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-51323-001","","","Michigan","Grand Blanc","","48439","622110","622110: General Medical and Surgical Hospitals","USA","Missouri","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Genesys Regional Medical Center","Ascension Health","$931,742","$0","$931,742","2010","20100517","government-contracting-related offenses","False Claims Act and related","","Nine hospitals agreed to pay the United States more than $9.4 million to settle allegations that the health care facilities submitted false claims to Medicare. The settlements resolved allegations that the hospitals overcharged Medicare between 2000 and 2008 when performing kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. In many cases, the procedure can be performed safely as a less costly out-patient procedure, but the government contends that the hospitals performed the procedure on an in-patient basis in order to increase their Medicare billings.","federal","agency action","Justice Department Civil Division","civil","","","","","","Michigan","Grand Blanc","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nine-hospitals-seven-states-pay-us-more-94-million-resolve-false-claims-act-allegations",""
"Providence Hospital","Ascension Health","$381,713","$0","$381,713","2009","20090929","government-contracting-related offenses","False Claims Act and related","","Six hospitals in Indiana and Alabama have agreed to pay the United States more than $8 million to settle allegations that the health care facilities submitted false claims to Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","Alabama","Mobile","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/indiana-and-alabama-hospitals-pay-us-over-8-million-settle-false-claims-act-allegations",""
"Providence Hospital","Ascension Health","$45,000","$0","$45,000","2010","20100907","healthcare-related offenses","HHS civil monetary penalties","","Providence Hospital agreed to pay $45,000 to resolve its liability for CMPs under the patient dumping statute.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Alabama","","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Sacred Heart Hospital","Ascension Health","$15,000","$0","$15,000","2006","20060315","healthcare-related offenses","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Florida","","","","","","USA","Missouri","non-profit","","healthcare services","hospitals","FOIA357","Source document obtained through a Freedom of Information Act request to the agency."
