"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Sunbelt Rentals","Ashtead Group PLC","$18,125","$0","$18,125","2008","20080808","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-30482-001","","","Indiana","Ft. Wayne","","46808","532490","532490: Other Commercial and Industrial Machinery and Equipment Rental and Leasing","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Sunbelt Rentals","Ashtead Group PLC","$7,880","$0","$7,880","2005","20050131","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-28070-001","","","Missouri","St. Charles","","63301","532310","532310: General Rental Centers","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Sunbelt Rentals, Inc.","Ashtead Group PLC","$64,641","$0","$64,641","2009","20091016","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","","","","","","United Kingdom","","publicly traded","","business services","industrial equipment rentals","https://www.eeoc.gov/eeoc/newsroom/release/10-16-09.cfm","Description field shows type of discrimination that EEOC had alleged."
"SUNBELT RENTAL, INC.","Ashtead Group PLC","$5,000","$0","$5,000","2008","20081126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","1275 W. MOUND STREET","43223","532412","532412: Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBELT RENTALS","Ashtead Group PLC","$7,000","$0","$7,000","2003","20031229","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","RICHMOND","1215 MAIN STREET","23219","236220","236220: Commercial and Institutional Building Construction","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBELT RENTAL, INC.","Ashtead Group PLC","$9,675","$0","$9,675","2002","20020417","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","DALE CITY","14400 DELANEY ROAD","22193","000000","","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBELT RENTALS INC","Ashtead Group PLC","$6,600","$0","$6,600","2001","20011017","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","BELLEVUE","10500 NE 8TH ST","98003","000000","","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBELT RENTALS, INC.","Ashtead Group PLC","$7,490","$0","$7,490","2002","20021023","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","9315 OLD KINGS ROAD SOUTH","32257","532412","532412: Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNBELT RENTALS INC.","Ashtead Group PLC","$5,000","$0","$5,000","2001","20011009","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","PORTSMOUTH","DRYDOCK 8 NORFOLK NAVAL SHIPYARD","23709","000000","","United Kingdom","","publicly traded","","business services","industrial equipment rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Sunbelt Rentals","Ashtead Group PLC","$98,500","$0","$98,500","2009","20090801","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","United Kingdom","","publicly traded","","business services","industrial equipment rentals","https://ww2.arb.ca.gov/sunbelt-rentals-settlement",""
