"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DOMINO SUGAR CORPORATION","ASR Group","$8,000","$0","$8,000","2000","20000203","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-14780-001","","","Louisiana","ARABI","","70032","311312","311312: Cane Sugar Refining","USA","Florida","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AMERICAN SUGAR REFINING INC","ASR Group","$16,500","$0","$16,500","2008","20080327","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","ARABI","7417 NORTH PETERS ST","70032","311312","311312: Cane Sugar Refining","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN SUGAR REFINING INC.","ASR Group","$7,500","$0","$7,500","2008","20080619","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","2905 S. WESTERN AVE.","60608","311340","311340: Nonchocolate Confectionery Manufacturing","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOMINO SUGAR CORPORATION","ASR Group","$34,800","$0","$34,800","2000","20000804","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","BALTIMORE","1100 KEY HIGHWAY EAST","21230","000000","","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C & H SUGAR","ASR Group","$18,425","$0","$18,425","2001","20010618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CROCKETT","830 LORING AVE.","94525","311312","311312: Cane Sugar Refining","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C & H SUGAR COMPANY, INC.","ASR Group","$6,960","$0","$6,960","2002","20020819","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CROCKETT","830 LORING AVENUE","94525","000000","","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C & H SUGAR","ASR Group","$18,500","$0","$18,500","2000","20001106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CROCKETT","830 LORING AVE.","94525","000000","","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C & H SUGAR","ASR Group","$5,000","$0","$5,000","2000","20001106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CROCKETT","830 LORING AVE.","94525","311312","311312: Cane Sugar Refining","USA","Florida","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"American Sugar Refining, Inc.","ASR Group","$6,000","$0","$6,000","2018","20180228","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Florida","privately held","","food products","food products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2017/AmericanSugar0016_Final.pdf",""
"American Sugar Refining, Inc.","ASR Group","$5,000","$0","$5,000","2016","20160317","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Florida","privately held","","food products","food products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2015/AmericanSugar0047_Final.pdf",""
