"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Astec, Inc","Astec Industries","$27,666","$0","$27,666","2007","20070809","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1470610","","","Tennessee","Chattanooga","","37407","324121","324121: Asphalt Paving Mixture and Block Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TELSMITH, INC.","Astec Industries","$9,400","$0","$9,400","2002","20020614","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MEQUON","10910 NORTH INDUSTRIAL DRIVE","53092","000000","","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Roadtec, Inc.","Astec Industries","$13,272","$0","$13,272","2008","20080716","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","HWM08-0022","","","Tennessee","","","","","","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"ASTEC INDUSTRIES INC","Astec Industries","$7,200","$0","$7,200","2013","20130510","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CHATTANOOGA","4101 JEROME AVENUE","37407","333120","333120: Construction Machinery Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ASTEC INDUSTRIES INC","Astec Industries","$10,500","$0","$10,500","2013","20130517","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CHATTANOOGA","4101 JEROME AVENUE","37407","333120","333120: Construction Machinery Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TELSMITH, INC.","Astec Industries","$5,100","$0","$5,100","2013","20130416","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MEQUON","10910 NORTH INDUSTRIAL DRIVE","53092","333120","333120: Construction Machinery Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TELSMITH, INC.","Astec Industries","$17,000","$0","$17,000","2018","20180412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MEQUON","10910 N. INDUSTRIAL DR.","53092","333120","333120: Construction Machinery Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEFCO INC.","Astec Industries","$25,868","$0","$25,868","2018","20180619","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ENID","2215 SOUTH VAN BUREN","73701","333132","333132: Oil and Gas Field Machinery and Equipment Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEFCO INC.","Astec Industries","$12,934","$0","$12,934","2018","20180712","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ENID","2215 S. VAN BUREN AVE.","73703","333132","333132: Oil and Gas Field Machinery and Equipment Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Johnson Crushers International","Astec Industries","$147,778","$0","$147,778","2011","20111122","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2011-0090","","","Oregon","EUGENE","86470 FRANKLIN BLVD","97405","333120","333120: Construction Machinery Manufacturing","USA","Tennessee","publicly traded","ASTE","miscellaneous manufacturing","industrial equipment","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
