"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ATLAS AIR INC","Atlas Air Worldwide","$16,000","$0","$16,000","2001","20010424","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2000EA150012 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$165,000","$0","$165,000","2010","20101217","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$120,000","$0","$120,000","2007","20070530","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2006EA150069 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$90,000","$0","$90,000","2000","20000630","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","1999EA150048 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$80,000","$0","$80,000","2016","20160418","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","2011EA150070","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$22,000","$0","$22,000","2008","20081029","safety-related offenses","aviation safety violation","","MAINTENAN CE ","federal","agency action","Federal Aviation Administration","civil","","","2007AL030070 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$14,000","$0","$14,000","2005","20051114","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2005EA150042 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$10,000","$0","$10,000","2005","20050225","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2003EA150091 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$10,000","$0","$10,000","2004","20041217","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2004EA150071 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"ATLAS AIR INC","Atlas Air Worldwide","$7,500","$0","$7,500","2006","20060410","safety-related offenses","aviation safety violation","","FLT OPNS ","federal","agency action","Federal Aviation Administration","civil","","","2005NM090111 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"POLAR AIR CARGO INC","Atlas Air Worldwide","$48,000","$0","$48,000","2001","20010522","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","1998CE710012 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"POLAR AIR CARGO INC","Atlas Air Worldwide","$24,000","$0","$24,000","2001","20010522","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","1998CE710038 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"POLAR AIR CARGO INC","Atlas Air Worldwide","$45,000","$0","$45,000","2006","20060703","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2005EA700513 ","","","","","","","","","USA","New York","publicly traded","AAWW","miscellaneous services","outsourced aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
