"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ATP Infrastructure Partners LP","ATP Oil & Gas","$1,000,000","$0","$1,000,000","2014","20141016","environment-related offenses","environmental violation","","Under a settlement agreement with the United States, ATP Infrastructure Partners LP agreed to pay a $1 million civil penalty and perform corrective measures to resolve claims by the U.S. under the Clean Water Act and the Outer Continental Shelf Lands Act of unauthorized discharges of oil and chemicals from an oil platform into the Gulf of Mexico, announced the Department of Justice, the Department of the Interior's Bureau of Safety and Environmental Enforcement and the U.S. Environmental Protection Agency. ","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","http://www.justice.gov/opa/pr/offshore-oil-platform-owner-improve-safety-and-operations-gulf-mexico-following-unauthorize-0",""
"ATP Oil & Gas Corp.","ATP Oil & Gas","$41,850,000","$0","$41,850,000","2015","20151119","environment-related offenses","environmental violation","","The Department of the Interior's Bureau of Safety and Environmental Enforcement and the Environmental Protection Agency  announced that ATP Oil & Gas Corp. agreed to resolve actions under the Clean Water Act and the Outer Continental Shelf Lands Act concerning unauthorized discharges of oil and chemicals from a floating oil and gas production platform into the Gulf of Mexico.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.justice.gov/opa/pr/offshore-oil-platform-operator-agrees-more-41-million-penalties-unauthorized-oil-discharges",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$50,000","$0","$50,000","2001","20010213","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2001-civil-penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$110,000","$0","$110,000","2006","20061229","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$21,000","$0","$21,000","2006","20060622","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$20,000","$0","$20,000","2010","20100313","environment-related offenses","environmental violation","offshore drilling violation","There was an unsafe personnel transfer from a boat to a platform, where a worker fell into the Gulf of Mexico.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2010-Civil/Criminal-Penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$20,000","$0","$20,000","2006","20060922","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$12,000","$0","$12,000","2006","20060922","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"ATP Oil & Gas Corporation","ATP Oil & Gas","$5,000","$0","$5,000","2006","20060627","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","out of business","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"ATP OIL & GAS CORPORATION","ATP Oil & Gas","$39,000,000","$39,000,000","$0","2015","20151229","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2013-1792","","","Texas","HOUSTON","4600 POST OAK BLVD., SUITE 200","77027-9726","","","USA","Texas","out of business","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
