"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Avista Corporation","Avista","$7,272","$0","$7,272","2012","20120628","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Washington","SPOKANE","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2012-pdf",""
"Avista Corporation; Mirant Corporation and Avista-Mirant, joint employers dba Coyote Springs 2, LLC","Avista","$9,130","$0","$9,130","2003","20030529","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-09117-001","","","Oregon","Boardman","","97818","236210","236210: Industrial Building Construction","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Avista Energy","Avista","$2,100,000","$0","$2,100,000","2001","20010821","competition-related offenses","energy market manipulation","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","http://www.cftc.gov/opa/enf01/opa4555-01.htm",""
"AVISTA CORPORATION","Avista","$17,600","$0","$17,600","2007","20070531","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","OTHELLO","506 N 7TH AVENUE","98848","221122","221122: Electric Power Distribution","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AVISTA UTILITIES, INC.","Avista","$5,500","$0","$5,500","2006","20060314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Idaho","HAYDEN","W. PRAIRIE AVENUE","83835","237130","237130: Power and Communication Line and Related Structures Construction","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ADVANCED MANUFACTURING & DEVELOPMENT INC.","Avista","$6,240","$0","$6,240","2002","20020530","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WILLITS","300 E. HILL RD.","95490","000000","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ADVANCED MANUFACTURING AND DEVELOPMENT INC DBA MET","Avista","$14,400","$0","$14,400","2008","20080401","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WILLITS","300 EAST HILL RD","95490","332439","332439: Other Metal Container Manufacturing","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Avista Corp.","Avista","$2,100,000","$0","$2,100,000","2008","20080502","environment-related offenses","environmental violation","","Along with PPL Montana (a subsidiary of PPL Corp.), Puget Sound Energy, Portland General Electric Co., and PacifiCorp, Avista was one of five owners of Montana's Colstrip power plant that agreed to pay $25 million to settle a lawsuit alleging that the plant was contaminating the town's water supply. Details on how much each defendant would pay were not made public, but Avista disclosed that its share was $2.1 million: https://www.sec.gov/Archives/edgar/data/104918/000119312509040752/d10k.htm#rom68046_24","state","private litigation","","civil","","","","","settlement","Montana","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://westernjusticelaw.com/articles/Settlement_reached_Montana_Colstrip_lawsuit.pdf",""
"Avista Corporation","Avista","$50,000","$0","$50,000","2003","20030326","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","UG-020218","","","Washington","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Avista Corporation","Avista","$200,000","$0","$200,000","2011","20110224","safety-related offenses","utility safety violation","gas pipeline safety violation","Improper installation and care of gas pipeline that caused an explosion injuring two and damaging structures.","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-082253","","","Washington","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Avista Corporation","Avista","$5,000","$0","$5,000","2021","20210318","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","200814","","","Washington","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.utc.wa.gov/casedocket/2021/200814/orders",""
"Avista Corporation","Avista","$5,000","$0","$5,000","2021","20210923","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","210636","","","Washington","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.utc.wa.gov/casedocket/2021/210636/orders",""
"Avista Corporation","Avista","$5,000","$0","$5,000","2021","20210923","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","210635","","","Washington","","","","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","https://www.utc.wa.gov/casedocket/2021/210635/orders",""
"Avista Utilities","Avista","$35,625","$0","$35,625","2010","20100217","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","08-2009-0224","","","Montana","NOXON","CLARK FORK RIVER AT RIVER MILE 170","59853","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Avista Corporation","Avista","$172,000","$0","$172,000","2012","20120224","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2012-0044","","","Idaho","CLARK FORK","61940 HIGHWAY 200","83811","","","USA","Washington","publicly traded","AVA","utilities and power generation","utilities","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
