"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"B & G FOODS INC","B&G Foods","$11,200","$0","$11,200","2010","20100513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STOUGHTON","430 INDUSTRIAL CIRCLE","53589","311211","311211: Flour Milling","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B & G FOODS INC","B&G Foods","$8,401","$0","$8,401","2008","20080619","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STOUGHTON","430 INDUSTRIAL CIRCLE","53589","311423","311423: Dried and Dehydrated Food Manufacturing","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BLOCH & GUGGENHEIMER, INC.","B&G Foods","$20,000","$0","$20,000","2005","20050713","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","HURLOCK","4715 HARRISON FERRY ROAD","21643","311421","311421: Fruit and Vegetable Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOODS NORTH AMERICA INC","B&G Foods","$5,000","$0","$5,000","2012","20120412","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","55169-PEA120002","","","New Jersey","","","","","","USA","New Jersey","publicly traded","BGS","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"B&G FOODS NORTH AMERICA, INC","B&G Foods","$11,000","$0","$11,000","2005","20050216","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46564-NEA050001","","","New Jersey","","","","","","USA","New Jersey","publicly traded","BGS","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"BLOCH & GUGGENHEIMER, INC.","B&G Foods","$10,475","$0","$10,475","2010","20101103","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","HURLOCK","4715 HARRISON FERRY ROAD","21643","311421","311421: Fruit and Vegetable Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOODS NORTH AMERICA  INC","B&G Foods","$13,470","$0","$13,470","2012","20120622","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","HURLOCK","4715 HARRISON FERRY ROAD","21643","311421","311421: Fruit and Vegetable Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B & G FOODS, INC.","B&G Foods","$11,700","$0","$11,700","2012","20121017","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ROSELAND","426 EAGLE ROCK","07068","311421","311421: Fruit and Vegetable Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B & G FOODS NORTH AMERICA, INC.","B&G Foods","$15,700","$0","$15,700","2015","20150618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","PORTLAND","ONE BEANPOT CIRCLE","04103","311422","311422: Specialty Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOODS NORTH AMERICA, INC.","B&G Foods","$7,000","$0","$7,000","2016","20160119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ROSELAND","426 EAGLE ROCK AVENUE","07068","311421","311421: Fruit and Vegetable Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOODS NORTH AMERICA, INC.","B&G Foods","$16,938","$0","$16,938","2019","20190125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STOUGHTON","430 INDUSTRIAL CIRCLE","53589","311422","311422: Specialty Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOODS NORTH AMERICA, INC.","B&G Foods","$19,506","$0","$19,506","2021","20210412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STOUGHTON","430 INDUSTRIAL CIRCLE","53589","311422","311422: Specialty Canning","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B&G FOOD, INC.","B&G Foods","$94,509","$0","$94,509","2008","20080925","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2008-0413","","","Maryland","HURLOCK","800 DELAWARE AVENUE","21643","","","USA","New Jersey","publicly traded","BGS","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
