"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bacardi Corporation","Bacardi Limited","$7,500","$0","$7,500","2002","20020630","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Puerto Rico","Catano","","","","","Bermuda","","privately held","","beverages","beverages","https://www.atf.gov/file/57726/download",""
"Bacardi U.S.A., Inc.","Bacardi Limited","$262,500","$0","$262,500","2011","20110502","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","Bermuda","","privately held","","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2011/oic_bacardi.pdf",""
"Bacardi USA, Inc","Bacardi Limited","$50,000","$0","$50,000","2001","20010801","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Florida","Miami","","","","","Bermuda","","privately held","","beverages","beverages","https://www.atf.gov/file/57936/download",""
"Bacardi U.S.A., Inc","Bacardi Limited","$153,333","$0","$153,333","2006","20061030","competition-related offenses","price-fixing or anti-competitive practices","","The New York Attorney General announced that 15 large wine and liquor suppliers would pay a total of $2.3 million in fines and costs to resolve allegations that they engaged in illegal marketing practices that harmed smaller retailers, bars and restaurants. The announcement did not specify how the amount would be divided among the companies. Here we assume it was split evenly among them.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","Bermuda","","privately held","","beverages","beverages","https://web.archive.org/web/20101111165325/http://www.ag.ny.gov/media_center/2006/oct/oct30a_06.html",""
"BACARDI U.S.A., INC.","Bacardi Limited","$10,001","$0","$10,001","2020","20200317","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Florida","","","33134","","","Bermuda","","privately held","","beverages","beverages","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"BACARDI U.S.A., INC.","Bacardi Limited","$10,001","$0","$10,001","2020","20200317","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Florida","","","33134","","","Bermuda","","privately held","","beverages","beverages","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"BACARDI BOTTLING CORPORATION","Bacardi Limited","$110,000","$0","$110,000","2012","20120816","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","12200 NORTH MAIN STREET","32218","312130","312130: Wineries","Bermuda","","privately held","","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BACARDI CORP.","Bacardi Limited","$1,012,500","$0","$1,012,500","2002","20020125","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2001-3402","","","","","","","","","Bermuda","","privately held","","beverages","beverages","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Bacardi Corporation","Bacardi Limited","$1,650,000","$0","$1,650,000","2012","20120127","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2006-0030","","","","","","","","","Bermuda","","privately held","","beverages","beverages","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Bacardi Corporation","Bacardi Limited","$20,000","$0","$20,000","2010","20100224","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2009-1220","","","","","","","","","Bermuda","","privately held","","beverages","beverages","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
