"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Baker Concrete Construction","Baker Concrete Construction","$58,000","$0","$58,000","2015","20150514","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Ohio","privately held","","construction and engineering","construction","https://www.eeoc.gov/eeoc/newsroom/release/5-14-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Baker Concrete Construction Inc.","Baker Concrete Construction","$15,082","$0","$15,082","2013","20131207","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1711913","","","California","Calexico","","92231","2379","2379: Other Heavy and Civil Engineering Construction","USA","Ohio","privately held","","construction and engineering","construction","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Baker Concrete Construction, Inc","Baker Concrete Construction","$51,344","$0","$51,344","2011","20110521","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1610739","","","Florida","Miami","","33122","236210","236210: Industrial Building Construction","USA","Ohio","privately held","","construction and engineering","construction","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Baker Concrete Construction, Inc","Baker Concrete Construction","$18,159","$0","$18,159","2014","20140727","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1725884","","","Florida","Fort Lauderdale","","33312","238110","238110: Poured Concrete Foundation and Structure Contractors","USA","Ohio","privately held","","construction and engineering","construction","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BAKER CONCRETE CONSTRUCTION","Baker Concrete Construction","$5,000","$0","$5,000","2009","20090617","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","STAMFORD","793 PACIFIC STREET","06902","238110","238110: Poured Concrete Foundation and Structure Contractors","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER CONCRETE CONSTRUCTION, INC.","Baker Concrete Construction","$5,000","$0","$5,000","2002","20021018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","DAYTON","THE MAIN STREET BRIDGE OVER MIAMI RIVER","45402","000000","","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER CONCRETE CONSTRUCTION, INC.","Baker Concrete Construction","$5,500","$0","$5,500","2002","20020417","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","AUSTIN","401 NECHES","78701","000000","","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER CONCRETE CONSTRUCTION INC.","Baker Concrete Construction","$8,000","$0","$8,000","2004","20040914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","CHEROKEE","749 PAINT TOWN ROAD","28719","238110","238110: Poured Concrete Foundation and Structure Contractors","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER CONCRETE CONSTRUCTION INC","Baker Concrete Construction","$10,800","$0","$10,800","2012","20121011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CHARLESTON","533 MCBRYANT RD NW","37310","238140","238140: Masonry Contractors","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER CONCRETE CONSTRUCTION, INC.","Baker Concrete Construction","$31,000","$0","$31,000","2013","20130115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","STAMFORD","576 PACIFIC STREET","06902","238110","238110: Poured Concrete Foundation and Structure Contractors","USA","Ohio","privately held","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
