"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Baker Hughes Incorporated","Baker Hughes","$33,000,000","$0","$33,000,000","2007","20070426","competition-related offenses","Foreign Corrupt Practices Act","","Baker Hughes Incorporated  agreed to pay more than $23 million in disgorgement and prejudgment interest and a civil penalty of $10 million to settle allegations that it violated a 2001 cease-and-desist Order prohibiting violations of the books and records and internal controls provisions of the Foreign Corrupt Practices Act.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","https://www.sec.gov/news/press/2007/2007-77.htm",""
"Baker Hughes Oil Field Operations Inc.","Baker Hughes","$7,331","$0","$7,331","2013","20130410","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1689196","","","Pennsylvania","Mountain Top","","18707","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Baker Hughes Services International Inc.","Baker Hughes","$11,000,000","$0","$11,000,000","2007","20070426","competition-related offenses","Foreign Corrupt Practices Act","","Baker Hughes Services International Inc. pleaded guilty to violating the Foreign Corrupt Practices Act. Its parent company Baker Hughes simultaneously entered into a deferred prosecution agreement.","federal","agency action","Justice Department Criminal Division","criminal","plea & deferred prosecution agreement","","","","","","","","","","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","https://www.justice.gov/archive/opa/pr/2007/April/07_crm_296.html",""
"BAKER PETROLITE CORP","Baker Hughes","$66,000","$0","$66,000","2019","20190204","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BAKER HUGHES OILFIELD OPRN LLC","Baker Hughes","$9,000","$0","$9,000","2015","20150608","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BAKER HUGHES OILFIELD OPRN LLC","Baker Hughes","$45,000","$0","$45,000","2011","20110224","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BAKER HUGHES PETROLITE","Baker Hughes","$5,250","$0","$5,250","2010","20100624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","BURLINGTON","WILMER 1-14 WELL, SEC 14-28N-12W ALFALFA CTY","73722","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER HUGHES DRILLING FLUIDS","Baker Hughes","$5,670","$0","$5,670","2007","20070330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BANQUETE","COUNTY ROAD 38","78339","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER HUGHES OIL COMPANY","Baker Hughes","$18,450","$0","$18,450","2000","20000108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","VENTURA","1404 FLEET ST","93003","000000","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAKER PETROLITE","Baker Hughes","$9,075","$0","$9,075","2001","20010129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TAFT","19815 SO LAKE RD","93268","000000","","USA","Texas","publicly traded","BKR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
