"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Barry Callebaut, Inc.","Barry Callebaut","$37,757","$0","$37,757","2003","20030203","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-30606-001","","","New Jersey","Pennsauken","","08110","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Switzerland","","publicly traded","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Barry Callebaut U.S.A., Inc.","Barry Callebaut","$30,000","$0","$30,000","2001","20010622","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-29685-001","","","New Jersey","Pennsauken","","08110","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Switzerland","","publicly traded","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Barry Callebaut USA, Inc","Barry Callebaut","$6,852","$0","$6,852","2004","20040204","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Switzerland","","publicly traded","","food products","food products","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf",""
"Barry Callebaut Sourcing AG","Barry Callebaut","$25,000","$0","$25,000","2004","20040513","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","","food products","food products","http://www.cftc.gov/opa/enf04/opa4927-04.htm",""
"BARRY CALLEBAUT USA LLC","Barry Callebaut","$13,974","$0","$13,974","2014","20140514","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Switzerland","","publicly traded","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BARRY CALLEBAUT USA LLC","Barry Callebaut","$5,000","$0","$5,000","2008","20080731","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","EDDYSTONE","903 INDUSTRIAL HIGHWAY","19022","311320","311320: Chocolate and Confectionery Manufacturing from Cacao Beans","Switzerland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BARRY CALLEBAUT USA, LLC","Barry Callebaut","$7,183","$0","$7,183","2011","20110125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","PENNSAUKEN","1500 SUCKLE HIGHWAY","08110","311211","311211: Flour Milling","Switzerland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BARRY CALLEBAUT U.S.A., LLC","Barry Callebaut","$6,350","$0","$6,350","2015","20150122","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","HENDERSONVILLE","51 SAINT PAULS ROAD","28792","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Switzerland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BARRY CALLEBAUT USA LLC","Barry Callebaut","$5,500","$0","$5,500","2011","20111028","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ROBINSON","1403 WEST MAIN ST.","62454","311320","311320: Chocolate and Confectionery Manufacturing from Cacao Beans","Switzerland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BARRY CALLEBAUT U.S.A. LLC","Barry Callebaut","$7,560","$0","$7,560","2015","20150424","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","EDDYSTONE","903 INDUSTRIAL HIGHWAY","19022","311320","311320: Chocolate and Confectionery Manufacturing from Cacao Beans","Switzerland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
