"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BASF","BASF","$7,500","$0","$7,500","2012","20120301","environment-related offenses","environmental violation","","EPA determined BASF Corporation illegally imported a misbranded product, Poast Manufacturer Concentrate (EPA Reg. No. 7969-56). The imported product was illegal because the label on this product contained information that conflicted with the EPA-accepted label. BASF agreed to relabel the violative product, prepare and implement a compliance monitoring plan to prevent or eliminate any future violations of FIFRA, and pay a $7,500 civil penalty. ","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","http://cfpub.epa.gov/enforcement/cases/index.cfm",""
"BASF Corp","BASF","$1,038,048","$0","$1,038,048","2012","20120627","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency has reached an agreement with BASF Corp. regarding alleged violations of the Clean Air Act at its Wyandotte, Michigan, chemical manufacturing facility. Under a consent agreement and final order, BASF has agreed to pay a $788,048 penalty and spend at least $250,000 on a supplemental environmental project to retrofit or replace municipal diesel engines in Wayne County with certified clean-diesel technologies.","federal","agency action","Environmental Protection Agency","civil","","","","","","Michigan","Wyandotte","","","","","Germany","","publicly traded","","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/0139fea4b190470e85257a2a0074b468.html",""
"BASF Corp.","BASF","$60,500","$0","$60,500","2004","20040507","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/05072004.pdf",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2009","20090123","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2009","20090121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2009","20090121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"BASF Corporation","BASF","$634,200","$0","$634,200","2009","20091019","environment-related offenses","environmental violation","","BASF Corporation agreed, under a Clean Air Act settlement filed today in federal court in Beaumont, Texas, to reduce the use of refrigerant chemicals that destroy the earth's stratospheric ozone layer. The company will spend more than an estimated $250,000 to retrofit one refrigeration unit that currently uses such chemicals, replacing them with environmentally-friendly alternatives, and will either retrofit or retire two other units. BASF will also pay a civil penalty of $384,200 to resolve alleged Clean Air Act violations.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.justice.gov/opa/pr/basf-corporation-agrees-clean-air-act-upgrades-protect-stratospheric-ozone",""
"BASF Corporation","BASF","$500,000","$0","$500,000","2013","20130131","employment-related offenses","employment discrimination","","retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Illinois","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.eeoc.gov/eeoc/newsroom/release/1-31-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"BASF Corporation","BASF","$200,416","$0","$200,416","2016","20160907","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-160082","","","Ohio","Elyria","","","","","Germany","","publicly traded","","chemicals","chemicals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"BASF CORPORATION","BASF","$85,000","$0","$85,000","2002","20020522","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-37644-001","","","West Virginia","Huntington","","25702","333514","333514: Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","Germany","","publicly traded","","chemicals","chemicals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"BASF CORPORATION","BASF","$20,000","$0","$20,000","2011","20111227","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$20,000","$0","$20,000","2011","20110204","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$20,000","$0","$20,000","2011","20110929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BASF Corporation","BASF","$20,000","$0","$20,000","2006","20060810","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BASF CORPORATION","BASF","$15,000","$0","$15,000","2013","20130605","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"BASF Corporation","BASF","$15,000","$0","$15,000","2006","20060810","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BASF Corporation","BASF","$10,000","$0","$10,000","2015","20150121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2013","20130326","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2012","20120221","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2012","20120413","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2010","20101004","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2010","20101223","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2011","20110426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$10,000","$0","$10,000","2010","20100311","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"BASF Corporation","BASF","$10,000","$0","$10,000","2002","20021203","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BASF CORPORATION","BASF","$9,000","$0","$9,000","2014","20140212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"BASF Corporation","BASF","$8,000","$0","$8,000","2004","20041209","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BASF Corporation","BASF","$8,000","$0","$8,000","2004","20041209","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BASF CORPORATION","BASF","$7,125","$0","$7,125","2014","20140319","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2015","20151223","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2016","20160311","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2016","20160421","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"BASF Corporation","BASF","$5,000","$0","$5,000","2015","20150522","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2014","20140919","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2013","20130516","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2012","20120312","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"BASF CORPORATION","BASF","$5,000","$0","$5,000","2011","20110204","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
