"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Basic Energy Service","Basic Energy Services Inc.","$11,028","$0","$11,028","2010","20100322","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1578821","","","Texas","Midland","","79701","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Basic Energy Services","Basic Energy Services Inc.","$30,472","$0","$30,472","2010","20100322","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1568548","","","Texas","Midland","","79701","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Basic Energy Services, L.P.","Basic Energy Services Inc.","$250,000","$0","$250,000","2009","20090309","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Louisiana","","","","","","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","https://www.eeoc.gov/eeoc/newsroom/release/archive/3-9-09b.html","Description field shows type of discrimination that EEOC had alleged."
"Platinum Pressure Service , Inc.","Basic Energy Services Inc.","$171,338","$0","$171,338","2010","20100531","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1550823","","","Texas","Decatur","","76234","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BASIC ENERGY SERVICES, INC., RIG NUMBER 1408","Basic Energy Services Inc.","$6,561","$0","$6,561","2007","20070411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","CORPUS CHRISTI","IH 37","78409","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICES LP","Basic Energy Services Inc.","$6,375","$0","$6,375","2006","20060725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","PINEDALE","34-32N-019W","82941","213111","213111: Drilling Oil and Gas Wells","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICES","Basic Energy Services Inc.","$5,000","$0","$5,000","2004","20040729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","LINDSAY","4 MILES SOUTH ON HWY 76 AND 3.3 MILES WEST","73052","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICES","Basic Energy Services Inc.","$5,000","$0","$5,000","2004","20040204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Utah","ROOSEVELT","CANYON WALKER HOLLOW #15","84066","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Basic Energy Services, L.P.","Basic Energy Services Inc.","$15,000","$0","$15,000","2015","20150825","environment-related offenses","environmental violation","","oil & gas violation","state","agency action","Railroad Commission of Texas","civil","","","","","","Texas","","","","","","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","https://rrc.texas.gov/media/30353/08-25-15.pdf",""
"BASIC ENERGY SERVICES","Basic Energy Services Inc.","$5,000","$0","$5,000","2010","20100819","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","KNOTT","RIG #17, 5 MILES W OF KNOTT, MARTIN COUNTY,","79748","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICE","Basic Energy Services Inc.","$5,500","$0","$5,500","2011","20110525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","VELMA","NADU 27-12, SEC 5-1S-4W, STEPHENS CTY","73149","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICES, INC., RIG NUMBER 1352","Basic Energy Services Inc.","$39,450","$0","$39,450","2010","20101103","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FANNIN","FM HWY 2987 TO FANNIN OAKS DRIVE","77963","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BASIC ENERGY SERVICES","Basic Energy Services Inc.","$14,300","$0","$14,300","2011","20111117","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","8 MILES W OF MONAHANS","O'BRIEN G.W. ETAL, WELL #1886, RIG #36","79756","213111","213111: Drilling Oil and Gas Wells","USA","Texas","publicly traded","BASX","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
