"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BCJ SAND AND ROCK INC","BCJ Sand and Rock","$7,275","$0","$7,275","2008","20080109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OROVILLE","4970 SLICKENS RD","95403","212321","212321: Construction Sand and Gravel Mining","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BCJ SAND AND ROCK INC","BCJ Sand and Rock","$6,495","$0","$6,495","2013","20130213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OROVILLE","4970 SLICKENS RD","95965","212321","212321: Construction Sand and Gravel Mining","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BCJ SAND AND ROCK INC","BCJ Sand and Rock","$5,120","$0","$5,120","2013","20130430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OROVILLE","4970 SLICKENS RD","95965","212321","212321: Construction Sand and Gravel Mining","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$6,996","$0","$6,996","2009","20090508","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$7,774","$0","$7,774","2012","20120313","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$15,971","$0","$15,971","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$12,248","$0","$12,248","2014","20140204","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$31,100","$0","$31,100","2014","20140204","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$6,600","$0","$6,600","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$14,373","$0","$14,373","2013","20130515","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$7,176","$0","$7,176","2013","20130117","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$6,996","$0","$6,996","2014","20140206","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$24,600","$0","$24,600","2013","20130117","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$52,500","$0","$52,500","2013","20130524","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$7,176","$0","$7,176","2013","20130117","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$6,996","$0","$6,996","2014","20140205","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Valley Sand and Rock, Inc","BCJ Sand and Rock","$17,301","$0","$17,301","2014","20140206","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Oroville","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
