"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Beazer Homes USA Inc.","Beazer Homes USA","$53,000,000","$0","$53,000,000","2009","20090701","government-contracting-related offenses","False Claims Act and related","mortgage abuses","Beazer Homes USA Inc. agreed to pay the United States $5 million dollars, plus contingent payments of up to $48 million to be shared with victimized private homeowners, to resolve allegations that it, and Beazer Mortgage Corp., were involved in fraudulent mortgage origination activities in connection with federally insured mortgages. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","https://www.justice.gov/opa/pr/united-states-settles-false-claims-act-allegations-against-national-home-builder-and-mortgage",""
"Beazer Homes USA Inc.","Beazer Homes USA","$925,000","$0","$925,000","2010","20101202","environment-related offenses","environmental violation","","Beazer Homes USA Inc., a national residential homebuilder, agreed to pay a $925,000 civil penalty to resolve alleged Clean Water Act violations at its construction sites in 21 states, the Justice Department and U.S. Environmental Protection Agency announced.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","http://www.justice.gov/opa/pr/residential-homebuilder-settles-clean-water-act-violations-21-states",""
"BEAZER HOMES CORPORATION","Beazer Homes USA","$7,000","$0","$7,000","2001","20010824","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","RALEIGH","12312 JASMINE COVE","27601","000000","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Beazer Homes USA, Inc","Beazer Homes USA","$5,500,000","$0","$5,500,000","2010","20101115","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of Georgia","1:07-cv-0952","In Re: Beazer Homes USA, Inc  ERISA Litigation","settlement","","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","https://www.law360.com/articles/186779",""
"Beazer Homes USA Inc.","Beazer Homes USA","$925,000","$925,000","$0","2010","20101202","environment-related offenses","environmental violation","","Beazer Homes agreed to pay $925,000 to resolve litigation brought by seven states and the federal government alleging Clean Water Act violations at construction sites in 21 states. The settlement was also announced by the U.S. Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-beazer-homes-usa-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","https://www.justice.gov/opa/pr/residential-homebuilder-settles-clean-water-act-violations-21-states",""
"Beazer Homes USA Inc.","Beazer Homes USA","$50,000,000","$50,000,000","$0","2009","20090701","financial offenses","accounting fraud or deficiencies","","This criminal case was part of a larger settlement also involving Justice Department's Civil Division and the Department of Housing and Urban Development; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-beazer-homes-usa-inc-0","federal","agency action","U.S. Attorney-Western District of North Carolina","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","https://archives.fbi.gov/archives/charlotte/press-releases/2009/ce070109.htm",""
"BEAZER HOMES USA, INC","Beazer Homes USA","$72,335","$0","$72,335","2011","20110210","environment-related offenses","environmental violation","","stormwater runoff violation","state","agency action","Florida Department of Environmental Protection","civil","","","102663","","","Florida","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"BEAZER HOMES CORP","Beazer Homes USA","$5,000","$0","$5,000","2004","20040102","environment-related offenses","environmental violation","","dredge and fill violation","state","agency action","Florida Department of Environmental Protection","civil","","","31609","","","Florida","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Beazer Homes USA, Inc.","Beazer Homes USA","$15,289","$0","$15,289","2011","20110225","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Maryland Department of the Environment","civil","","","","","","Maryland","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","https://mde.maryland.gov/programs/Pressroom/Pages/041911.aspx",""
"Beazer Homes Corporate Office","Beazer Homes USA","$49,690","$0","$49,690","2013","20131202","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","WPC13-0179","","","Tennessee","","","","","","USA","Georgia","publicly traded","BZH","construction and engineering","homebuilding","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
