"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BEHR PEORIA, INC.","Behr Iron & Metal","$6,600","$0","$6,600","2002","20020206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","PEORIA","2424 W. CLARKE STREET","61607","000000","","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Behr Iron & Steel Inc.","Behr Iron & Metal","$870,000","$0","$870,000","2016","20160712","safety-related offenses","workplace safety or health violation","","A Rockford-based company was sentenced for willfully violating Occupational Safety and Health Administration regulations, resulting in the death of an employee at the company's facility in South Beloit, Ill.","federal","agency action","U.S. Attorney-Northern District of Illinois","criminal","","","","","","Illinois","","","","","","USA","Illinois","privately held","","waste management and environmental services","recycling","https://www.justice.gov/usao-ndil/pr/behr-iron-steel-inc-sentenced-osha-violation-causing-death-employee",""
"BEHR IRON AND STEEL","Behr Iron & Metal","$10,000","$0","$10,000","2008","20081120","environment-related offenses","environmental violation","","air quality violation","state","agency action","Illinois Environmental Protection Agency","civil","","","13-Sep","","","Illinois","","","","","","USA","Illinois","privately held","","waste management and environmental services","recycling","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"BEHR OF MASON CITY, L.L.C.","Behr Iron & Metal","$15,537","$0","$15,537","2010","20100120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","MASON CITY","12050 WEST STATE STREET","50401","423930","423930: Recyclable Material Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR PEORIA, INC.","Behr Iron & Metal","$5,950","$0","$5,950","2010","20100914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","PEORIA","2424 W. CLARKE ST.","61607","423930","423930: Recyclable Material Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR OF MASON CITY , LLC","Behr Iron & Metal","$17,500","$0","$17,500","2014","20140929","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","MASON CITY","12050","50401","423930","423930: Recyclable Material Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR IRON & STEEL, INC.","Behr Iron & Metal","$357,000","$0","$357,000","2014","20140311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","SOUTH BELOIT","201 WHEELER AVE.","61080","423510","423510: Metal Service Centers and Other Metal Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR IRON & STEEL, INC","Behr Iron & Metal","$42,000","$0","$42,000","2014","20140915","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ROCKFORD","1100 SEMINARY ST.P.O. BOX 740","61105","423930","423930: Recyclable Material Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR IRON & STEEL, INC","Behr Iron & Metal","$121,000","$0","$121,000","2014","20140922","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","PEORIA","2424 W. CLARKE ST.","61607","423930","423930: Recyclable Material Merchant Wholesalers","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR IRON & METAL","Behr Iron & Metal","$30,000","$0","$30,000","2014","20141230","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2015-5016","","","","","","","","","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Behr Iron & Metal","Behr Iron & Metal","$81,000","$0","$81,000","2014","20141230","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","07-2015-5001","","","","","","","","","USA","Illinois","privately held","","waste management and environmental services","recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
