"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BJ's Wholesale Club, Inc.","BJ's Wholesale Club Holdings","$320,000","$0","$320,000","2004","20040715","employment-related offenses","wage and hour violation","Fair Labor Standards Act","BJ's Wholesale Club, Inc., based in Natick, Mass., paid $320,000 in back wages to 233 employees for uncompensated overtime work revealed during a U.S. Department of Labor investigation.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","https://www.dol.gov/whd/media/press/whdpressVB2.asp?pressdoc=Northeast/NEarchive/20041331.xml",""
"BJS WHOLESALE CLUB INC","BJ's Wholesale Club Holdings","$6,000","$0","$6,000","2014","20140905","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BJS WHOLESALE CLUB INC","BJ's Wholesale Club Holdings","$15,000","$0","$15,000","2005","20050623","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BJ'S WHOLESALE CLUB","BJ's Wholesale Club Holdings","$9,100","$0","$9,100","2010","20101221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","WESTBOROUGH","290 TURNPIKE RD.","01581","452910","452910: Warehouse Clubs and Supercenters","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BJ'S WHOLESALE CLUB, INC.","BJ's Wholesale Club Holdings","$11,220","$0","$11,220","2011","20110729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","NEW CASTLE","124 SUNSET BOULEVARD","19720","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BJ'S WHOLESALE CLUB, INC.","BJ's Wholesale Club Holdings","$10,000","$0","$10,000","2009","20091211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","NEW CASTLE","124 SUNSET BOULEVARD","19720","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"B.J.'S WHOLESALE CLUB","BJ's Wholesale Club Holdings","$5,689","$0","$5,689","2004","20040109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","LEOMINSTER","115 ERDMAN WAY","01453","452910","452910: Warehouse Clubs and Supercenters","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BJ's Wholesale","BJ's Wholesale Club Holdings","$325,000","$0","$325,000","2015","20151221","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","District of Connecticut","14-cv-0081","Powell et al v. BJ's Wholesale Club, Inc.","settlement","","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","",""
"BJ's Wholesale","BJ's Wholesale Club Holdings","$2,700,000","$0","$2,700,000","2014","20140204","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Massachusetts","12-cv-11064","Cintron v. BJ's Wholesale Club, Inc.","settlement","","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","https://www.law360.com/articles/463994/bj-s-agrees-to-pay-2-7m-to-check-out-of-ot-suit",""
"BJ's Wholesale","BJ's Wholesale Club Holdings","$9,194,499","$0","$9,194,499","2010","20100624","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Massachusetts","08-cv-30220","Kevin Caissie v. BJ's Wholesale Club, Inc.","settlement","","","","","","","USA","Massachusetts","publicly traded","BJ","retailing","warehouse clubs","https://www.law360.com/articles/135013/bj-s-reaches-9-3m-settlement-with-midlevel-managers",""
