"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BMW","BMW","$3,000,000","$0","$3,000,000","2012","20120210","safety-related offenses","motor vehicle safety violation","","Untimely recalls in 2010. 49 USC 30118(c) and 30119(c), 49 CFR 573.6","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://web.archive.org/web/20180424031218/https://www.nhtsa.gov/press-releases/bmw-pay-3-million-civil-penalties-untimely-reporting-2010-recalls",""
"BMW Manufacturing Co.","BMW","$1,600,000","$0","$1,600,000","2015","20150908","employment-related offenses","employment discrimination","","Race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","South Carolina","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.eeoc.gov/eeoc/newsroom/release/9-8-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"BMW Manufacturing Company, LLC","BMW","$629,869","$0","$629,869","2006","20060326","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1395432","","","South Carolina","Spartanburg","","29304","336111","336111: Automobile Manufacturing","Germany","","publicly traded","","motor vehicles","motor vehicles","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BMW Financial Services, N.A.","BMW","$2,165,518","$0","$2,165,518","2018","20180222","consumer-protection-related offenses","Servicemembers Civil Relief Act","","","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.justice.gov/opa/pr/justice-department-obtains-over-2-million-servicemembers-who-terminated-their-motor-vehicle",""
"BMW OF NORTH AMERICA LLC","BMW","$14,000","$0","$14,000","2013","20130411","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2011EA700150","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"BMW","BMW","$456,637","$0","$456,637","2007","20070801","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2006","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"BMW","BMW","$2,795,496","$0","$2,795,496","2006","20060801","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2005","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"BMW","BMW","$273,405","$0","$273,405","2006","20060801","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2002","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"BMW","BMW","$13,711,357","$0","$13,711,357","2006","20060201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2004","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"BMW","BMW","$1,676,752","$0","$1,676,752","2005","20051201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2003","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
