"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bank of the West","BNP Paribas","$48,000","$0","$48,000","2011","20110727","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Oklahoma","","","","","","France","","publicly traded","","financial services","banking","https://www.eeoc.gov/eeoc/newsroom/release/7-27-11a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Bank of the West","BNP Paribas","$33,750","$0","$33,750","2015","20150113","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1748801","","","California","San Ramon","","94583","521110","521110: Monetary Authorities - Central Bank","France","","publicly traded","","financial services","banking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BNP Paribas","BNP Paribas","$80,000,000","$0","$80,000,000","2014","20140724","government-contracting-related offenses","False Claims Act and related","","The Department of Justice announced that an $80 million False Claims Act judgment was entered against BNP Paribas for submitting false claims for payment guarantees issued by the U.S. Department of Agriculture. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.justice.gov/opa/pr/80-million-judgment-entered-against-bnp-paribas-false-claims-us-department-agriculture",""
"BNP Paribas Securities","BNP Paribas","$140,000","$0","$140,000","2015","20151020","financial offenses","investor protection violation","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission issued an Order instituting and simultaneously settling charges against BNP Paribas Securities Corp. for violating the CFTC's Regulations governing concentration limits applicable to the investment of segregated commodity customer funds.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr7265-15",""
"BNP Paribas Commodity Futures, Ltd.","BNP Paribas","$25,000","$0","$25,000","2008","20080312","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced that BNP Paribas Commodity Futures, Ltd. would pay a $25,000 civil monetary penalty to settle charges that it failed to provide to the CFTC timely and accurate account information for a reportable large trader account, as required by CFTC regulations.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr5470-08",""
"BNP Paribas S.A.","BNP Paribas","$246,000,000","$0","$246,000,000","2017","20170717","competition-related offenses","foreign exchange market manipulation","","The Board levied the fine after finding deficiencies in BNP Paribas's oversight of, and internal controls over, FX traders who buy and sell U.S. dollars and foreign currencies for the firm's own accounts and for customers. The Board said the firm failed to detect and address that its traders used electronic chatrooms to communicate with competitors about their trading positions.","federal","agency action","Federal Reserve","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.federalreserve.gov/newsevents/pressreleases/enforcement20170717a.htm",""
"BNP Paribas S.A.","BNP Paribas","$8,973,600,000","$0","$8,973,600,000","2015","20150501","financial offenses","economic sanction violation","","BNP Paribas S.A.  was sentenced for conspiring to violate the International Emergency Economic Powers Act and the Trading with the Enemy Act by processing billions of dollars of transactions through the U.S. financial system on behalf of Sudanese, Iranian and Cuban entities subject to U.S. economic sanctions. BNPP was sentenced to a five-year term of probation, and ordered to forfeit $8,833,600,000 to the United States and to pay a $140,000,000 fine. The penalty also covered cases brought by the Office of Foreign Assets Control and the Federal Reserve.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.justice.gov/opa/pr/bnp-paribas-sentenced-conspiring-violate-international-emergency-economic-powers-act-and",""
"BNP Paribas (Suisse) SA","BNP Paribas","$59,783,000","$0","$59,783,000","2015","20151119","financial offenses","tax violations","","Swiss Bank Program","federal","agency action","Justice Department Tax Division","criminal","non-prosecution agreement","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.justice.gov/opa/pr/justice-department-announces-three-banks-reach-resolutions-under-swiss-bank-program-0",""
"BNP Paribas USA Inc.","BNP Paribas","$90,000,000","$0","$90,000,000","2018","20180126","competition-related offenses","foreign exchange market manipulation","price-fixing or anti-competitive practices","BNP Paribas USA Inc., a subsidiary of BNP Paribas S.A., pleaded guilty to participating in a price-fixing conspiracy in the foreign currency exchange (FX) market.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.justice.gov/opa/pr/bnp-paribas-usa-inc-pleads-guilty-antitrust-conspiracy",""
"BNP Paribas Securities Corp.","BNP Paribas","$90,000,000","$0","$90,000,000","2018","20180829","competition-related offenses","interest rate benchmark manipulation","","The Commodity Futures Trading Commission settled charges against BNP Paribas Securities Corp. for attempted manipulation of the ISDAFIX benchmark by requiring the company to pay a $90 million civil monetary penalty.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.cftc.gov/PressRoom/PressReleases/7776-18",""
"First Hawaiian Bank","BNP Paribas","$2,500,000","$0","$2,500,000","2009","20090611","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","https://www.dol.gov/newsroom/releases/ebsa/ebsa20090611",""
"BANK OF THE WEST","BNP Paribas","$135,000","$0","$135,000","2011","20111222","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-11-662k","","","California","SAN FRANCISCO","","","","","France","","publicly traded","","financial services","banking","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z49OAAS?operationContext=S1",""
