"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BONANZA CREEK ENERGY OPERATING CO LLC","Bonanza Creek Energy","$13,665","$0","$13,665","2007","20071203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","1 MILE NE OF ROSEDALE HWY AND SUPERIOR RD","93314","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Bonanza Creek Energy Resources, LLC","Bonanza Creek Energy","$12,570","$0","$12,570","2011","20111110","environment-related offenses","environmental violation","","air quality violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2011-11-10_Notice_of_Enforcement_Actions.pdf",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$22,750","$0","$22,750","2020","20200929","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$36,750","$0","$36,750","2019","20190820","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$12,600","$0","$12,600","2018","20180919","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$180,000","$0","$180,000","2017","20171003","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$7,700","$0","$7,700","2017","20170103","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$46,550","$0","$46,550","2015","20150115","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$13,500","$0","$13,500","2015","20150115","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"BONANZA CREEK ENERGY","Bonanza Creek Energy","$20,400","$0","$20,400","2014","20141016","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","BCEI","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
