"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bouchard Transportation Co.","Bouchard Transportation","$6,000,000","$0","$6,000,000","2010","20101115","environment-related offenses","environmental violation","","The Department of Justice, the Commonwealth of Massachusetts and the state of Rhode Island announced that Bouchard Transportation Co. Inc. and its affiliates will pay more than $6 million to settle a portion of the federal and state natural resource damages claims for the April 2003 spill of up to 98,000 gallons of oil into Buzzards Bay.","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","http://www.justice.gov/opa/pr/companies-pay-more-6-million-natural-resource-damages-buzzards-bay-oil-spill",""
"BOUCHARD TRANSPORTATION CO.","Bouchard Transportation","$9,310","$0","$9,310","2000","20000815","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","57TH STREET 1ST AVENUE","11220","000000","","USA","New York","privately held","","miscellaneous services","barge services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Bouchard Transportation Company, Inc.","Bouchard Transportation","$13,300,000","$0","$13,300,000","2017","20171020","environment-related offenses","environmental violation","","","federal","agency action","U.S. Attorney-District of Massachusetts","civil","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","https://www.justice.gov/enrd/consent-decree/file/1005586/download",""
"Bouchard Transportation Company, Inc.","Bouchard Transportation","$4,000,000","$0","$4,000,000","2011","20110208","environment-related offenses","environmental violation","","","federal","agency action","U.S. Attorney-Eastern District of New York","civil","","","","","","New York","","","","","","USA","New York","privately held","","miscellaneous services","barge services","https://www.justice.gov/archive/usao/nye/pr/2011/2011feb08.html",""
"Bouchard Transportation Co.","Bouchard Transportation","$6,000,000","$6,000,000","$0","2010","20101115","environment-related offenses","environmental violation","","Bouchard Transportation agreed to pay $6 million to Massachusetts, Rhode Island and the federal government to resolve natural resource damage claims relating to the April 2003 spill of up to 98,000 gallons of oil into Buzzards Bay. The settlement was also announced by the Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bouchard-transportation-co-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","https://violationtracker.goodjobsfirst.org/violation-tracker/-bouchard-transportation-co-inc",""
"Bouchard Transportation Co.","Bouchard Transportation","$10,000,000","$0","$10,000,000","2004","20040329","environment-related offenses","environmental violation","","Clean Water Act","federal","agency action","U.S. Attorney-District of Massachusetts","criminal","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","http://lib.law.virginia.edu/Garrett/corporate-prosecution-registry/agreements/BouchardTransportation.pdf",""
"Bouchard Transportation Co.","Bouchard Transportation","$3,872,895","$0","$3,872,895","2020","20200229","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1902956","","","New York","Melville","58 S Service Road","11747","483211","483211: Inland Water Freight Transportation","USA","New York","privately held","","miscellaneous services","barge services","September 14, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Bouchard Transportation Co.","Bouchard Transportation","$543,228","$0","$543,228","2020","20201015","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1920018","","","New York","Melville","58 S Service Road","11747","483211","483211: Inland Water Freight Transportation","USA","New York","privately held","","miscellaneous services","barge services","February 22, 2021 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Bouchard Transportation Co.","Bouchard Transportation","$375,000","$0","$375,000","2021","20210401","employment-related offenses","workplace whistleblower retaliation","","A Long Island-based petroleum barge company and three former and current management officials have paid $375,000 in restitution to the brother of one of two seamen killed in a barge explosion off the coast of Texas. The seaman alleged the company fired him for cooperating with investigators and reporting safety concerns to the U.S. Coast Guard. The explosion occurred on Oct. 20, 2017, off Port Aransas aboard the Buster Bouchard/B. No. 255.","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","https://www.osha.gov/news/newsreleases/region2/04012021",""
"Bouchard Transportation Co.","Bouchard Transportation","$250,000","$0","$250,000","2019","20191218","employment-related offenses","workplace whistleblower retaliation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","","","","","","","USA","New York","privately held","","miscellaneous services","barge services","https://www.osha.gov/news/newsreleases/region2/12182019",""
