"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AMOCO OIL CO","BP","$90,000","$0","$90,000","2010","20100625","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320105007.html?nocache=8040",""
"AMOCO OIL CO","BP","$50,000","$0","$50,000","2006","20060426","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320055030.html?nocache=4934",""
"AMOCO OIL CO","BP","$10,000","$0","$10,000","2007","20071107","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320065027.html?nocache=5242",""
"AMOCO OIL CO","BP","$5,000","$0","$5,000","2006","20060426","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320045031.html?nocache=480",""
"Amoco Canada Petroleum Co. Ltd.","BP","$8,000","$0","$8,000","2000","20001117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2001 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"AMOCO EXPLORATION AND PRODUCTION COMPANY","BP","$5,000","$0","$5,000","2003","20030205","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420005007.html?nocache=8278",""
"Amoco Production Company","BP","$23,000","$0","$23,000","2001","20010113","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2001-civil-penalties",""
"Amoco Production Company","BP","$18,000","$0","$18,000","2000","20000113","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Amoco Production Company","BP","$15,000","$0","$15,000","2002","20020402","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2002-civil-penalties",""
"Amoco Production Company","BP","$12,000","$0","$12,000","2000","20000429","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Atlantic Richfield","BP","$21,000,000","$0","$21,000,000","2013","20130911","environment-related offenses","environmental violation","","A past cost settlement with Atlantic Richfield to reimburse the EPA for over $21 million of its cleanup costs at the Anaconda Smelter Site and the Warm Springs Ponds Operable Units. ","federal","agency action","Environmental Protection Agency","civil","","","","","","Montana","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://www2.epa.gov/enforcement/case-summary-atlantic-richfield-pay-over-21-million-past-costs-anaconda-smelter-site",""
"BP","BP","$20,800,000,000","$0","$20,800,000,000","2015","20151005","environment-related offenses","environmental violation","","The United States joined the five Gulf states in announcing a settlement to resolve civil claims against BP arising from the April 20, 2010 Macondo well blowout and the massive oil spill that followed in the Gulf of Mexico. This global settlement resolved the governments' civil claims under the Clean Water Act and natural resources damage claims under the Oil Pollution Act, as well as economic damage claims of the five Gulf states and local governments.","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://www.justice.gov/opa/pr/us-and-five-gulf-states-reach-historic-settlement-bp-resolve-civil-lawsuit-over-deepwater",""
"BP","BP","$660,000,000","$0","$660,000,000","2001","20010118","environment-related offenses","environmental violation","","To resolve a Clean Air Act case involving eight refineries, BP agreed to spend $650 million to reduce emissions and pay a $10 million civil penalty.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2001/January/028enrd.htm",""
"BP","BP","$525,000,000","$0","$525,000,000","2012","20121115","financial offenses","investor protection violation","","BP p.l.c. agreed to pay $525 million to resolve allegations that it misled investors while its Deepwater Horizon oil rig was gushing into the Gulf of Mexico by significantly understating the flow rate in multiple reports filed with the SEC.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171485962",""
"BP/AMOCO PRODUCTS","BP","$50,000","$0","$50,000","2011","20110621","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BP/AMOCO PRODUCTS","BP","$10,000","$0","$10,000","2011","20110426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BP/Amoco Products","BP","$8,500","$0","$8,500","2006","20060111","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BP America","BP","$5,189,800","$0","$5,189,800","2012","20120930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company knowingly or willfully submitted at least 21 false, misleading, or inaccurate royalty reports during 2009.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","https://www.onrr.gov/compliance/PDFDocs/2012.pdf",""
"BP America","BP","$426,500","$0","$426,500","2011","20111129","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that several subsidiaries of BP America Inc. agreed to pay a $426,500 penalty and ensure that more than $240 million in funds are secured to resolve violations of hazardous waste, drinking water and Superfund financial assurance requirements. ","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","oil and gas","oil & gas","http://www2.epa.gov/enforcement/bp-financial-assurance-settlement",""
